source,season,rows,n_cols,season_min,season_max,week_min,week_max,has_week_zero
depth_charts,2016,36612,26,2016,2024,1,22,false
depth_charts,2020,36168,26,2016,2024,1,22,false
depth_charts,2024,37312,26,2016,2024,1,22,false
depth_charts,_null_season_rows,554215,26,2016,2024,1,22,false
ftn_charting,2022,41643,29,2022,2025,1,22,false
ftn_charting,2024,48031,29,2022,2025,1,22,false
ftn_charting,2025,47316,29,2022,2025,1,22,false
injuries,2016,5115,17,2016,2025,1,22,false
injuries,2020,5661,17,2016,2025,1,22,false
injuries,2024,6215,17,2016,2025,1,22,false
injuries,2025,6068,17,2016,2025,1,22,false
ngs_passing,2016,573,29,2016,2025,0,23,true
ngs_passing,2020,581,29,2016,2025,0,23,true
ngs_passing,2024,614,29,2016,2025,0,23,true
ngs_passing,2025,605,29,2016,2025,0,23,true
ngs_receiving,2016,1601,23,2016,2025,0,23,true
ngs_receiving,2020,1520,23,2016,2025,0,23,true
ngs_receiving,2024,1435,23,2016,2025,0,23,true
ngs_receiving,2025,1402,23,2016,2025,0,23,true
ngs_rushing,2016,579,22,2016,2025,0,23,true
ngs_rushing,2020,596,22,2016,2025,0,23,true
ngs_rushing,2024,601,22,2016,2025,0,23,true
ngs_rushing,2025,648,22,2016,2025,0,23,true
participation,participation,283889,26,,,,,
pbp,2016,47651,372,2016,2025,1,22,false
pbp,2020,47705,372,2016,2025,1,22,false
pbp,2024,49492,372,2016,2025,1,22,false
pbp,2025,48771,372,2016,2025,1,22,false
pfr_def,2018,7277,29,2018,2025,1,22,false
pfr_def,2024,7992,29,2018,2025,1,22,false
pfr_def,2025,7926,29,2018,2025,1,22,false
pfr_pass,2018,646,24,2018,2025,1,22,false
pfr_pass,2020,666,24,2018,2025,1,22,false
pfr_pass,2024,697,24,2018,2025,1,22,false
pfr_pass,2025,684,24,2018,2025,1,22,false
pfr_rec,2018,4292,17,2018,2025,1,22,false
pfr_rec,2024,4453,17,2018,2025,1,22,false
pfr_rec,2025,4533,17,2018,2025,1,22,false
pfr_rush,2018,2189,16,2018,2025,1,22,false
pfr_rush,2024,2359,16,2018,2025,1,22,false
pfr_rush,2025,2355,16,2018,2025,1,22,false
player_stats_week,2016,17552,150,2016,2025,1,22,false
player_stats_week,2020,17602,150,2016,2025,1,22,false
player_stats_week,2024,18983,150,2016,2025,1,22,false
player_stats_week,2025,19422,150,2016,2025,1,22,false
players,players,24826,39,,,,,
rosters_weekly,2016,35020,36,2016,2025,1,22,false
rosters_weekly,2020,44130,36,2016,2025,1,22,false
rosters_weekly,2024,46579,36,2016,2025,1,22,false
rosters_weekly,2025,46849,36,2016,2025,1,22,false
schedules,1999,259,46,1999,2026,1,22,false
schedules,2000,259,46,1999,2026,1,22,false
schedules,2001,259,46,1999,2026,1,22,false
schedules,2002,267,46,1999,2026,1,22,false
schedules,2003,267,46,1999,2026,1,22,false
schedules,2004,267,46,1999,2026,1,22,false
schedules,2005,267,46,1999,2026,1,22,false
schedules,2006,267,46,1999,2026,1,22,false
schedules,2007,267,46,1999,2026,1,22,false
schedules,2008,267,46,1999,2026,1,22,false
schedules,2009,267,46,1999,2026,1,22,false
schedules,2010,267,46,1999,2026,1,22,false
schedules,2011,267,46,1999,2026,1,22,false
schedules,2012,267,46,1999,2026,1,22,false
schedules,2013,267,46,1999,2026,1,22,false
schedules,2014,267,46,1999,2026,1,22,false
schedules,2015,267,46,1999,2026,1,22,false
schedules,2016,267,46,1999,2026,1,22,false
schedules,2017,267,46,1999,2026,1,22,false
schedules,2018,267,46,1999,2026,1,22,false
schedules,2019,267,46,1999,2026,1,22,false
schedules,2020,269,46,1999,2026,1,22,false
schedules,2021,285,46,1999,2026,1,22,false
schedules,2022,284,46,1999,2026,1,22,false
schedules,2023,285,46,1999,2026,1,22,false
schedules,2024,285,46,1999,2026,1,22,false
schedules,2025,285,46,1999,2026,1,22,false
schedules,2026,272,46,1999,2026,1,22,false
snap_counts,2016,23890,16,2016,2025,1,22,false
snap_counts,2020,24999,16,2016,2025,1,22,false
snap_counts,2024,26615,16,2016,2025,1,22,false
snap_counts,2025,26612,16,2016,2025,1,22,false
team_stats_week,2016,534,138,2016,2025,1,22,false
team_stats_week,2020,538,138,2016,2025,1,22,false
team_stats_week,2024,570,138,2016,2025,1,22,false
team_stats_week,2025,570,138,2016,2025,1,22,false
