source,season,unit,weight_kind,total_weight,unmatched_weight,unmatched_share,rows,unmatched_rows
pfr_def,2018,ALL,rows,7277.0,0.0,0.0,7277,0
pfr_def,2019,ALL,rows,7285.0,8.0,0.0011,7285,8
pfr_def,2020,ALL,rows,7643.0,2.0,0.00026,7643,2
pfr_def,2021,ALL,rows,8442.0,2.0,0.00024,8442,2
pfr_def,2022,ALL,rows,7878.0,0.0,0.0,7878,0
pfr_def,2023,ALL,rows,7902.0,0.0,0.0,7902,0
pfr_def,2024,ALL,rows,7992.0,0.0,0.0,7992,0
pfr_def,2025,ALL,rows,7926.0,2.0,0.00025,7926,2
pfr_pass,2018,ALL,rows,646.0,0.0,0.0,646,0
pfr_pass,2019,ALL,rows,640.0,0.0,0.0,640,0
pfr_pass,2020,ALL,rows,666.0,0.0,0.0,666,0
pfr_pass,2021,ALL,rows,706.0,0.0,0.0,706,0
pfr_pass,2022,ALL,rows,685.0,0.0,0.0,685,0
pfr_pass,2023,ALL,rows,700.0,0.0,0.0,700,0
pfr_pass,2024,ALL,rows,697.0,0.0,0.0,697,0
pfr_pass,2025,ALL,rows,684.0,0.0,0.0,684,0
pfr_rec,2018,ALL,rows,4292.0,0.0,0.0,4292,0
pfr_rec,2019,ALL,rows,4269.0,2.0,0.00047,4269,2
pfr_rec,2020,ALL,rows,4428.0,0.0,0.0,4428,0
pfr_rec,2021,ALL,rows,4608.0,3.0,0.00065,4608,3
pfr_rec,2022,ALL,rows,4547.0,1.0,0.00022,4547,1
pfr_rec,2023,ALL,rows,4594.0,1.0,0.00022,4594,1
pfr_rec,2024,ALL,rows,4453.0,2.0,0.00045,4453,2
pfr_rec,2025,ALL,rows,4533.0,3.0,0.00066,4533,3
pfr_rush,2018,ALL,rows,2189.0,0.0,0.0,2189,0
pfr_rush,2019,ALL,rows,2148.0,0.0,0.0,2148,0
pfr_rush,2020,ALL,rows,2266.0,1.0,0.00044,2266,1
pfr_rush,2021,ALL,rows,2375.0,0.0,0.0,2375,0
pfr_rush,2022,ALL,rows,2389.0,0.0,0.0,2389,0
pfr_rush,2023,ALL,rows,2380.0,0.0,0.0,2380,0
pfr_rush,2024,ALL,rows,2359.0,0.0,0.0,2359,0
pfr_rush,2025,ALL,rows,2355.0,3.0,0.00127,2355,3
snap_counts,2013,DB,snaps,217990.0,0.0,0.0,4640,0
snap_counts,2013,DL,snaps,136913.0,54.0,0.00039,3553,2
snap_counts,2013,LB,snaps,146869.0,33.0,0.00022,3494,2
snap_counts,2013,OL,snaps,201567.0,0.0,0.0,4231,0
