family,metric,seasons_present,n_entity_seasons,null_frac_overall,min_entity_seasons_in_a_season,median_opportunities
pass_protection,qb_hit_rate_allowed,2016-2024,288,0.0,32,649.0
pass_protection,rush_stuffed_rate_approx,2016-2024,288,0.0,32,649.0
pass_protection,sack_rate_allowed,2016-2024,288,0.0,32,649.0
pass_rush,qb_hit_rate_generated,2016-2024,288,0.0,32,644.5
pass_rush,sack_rate_generated,2016-2024,288,0.0,32,644.5
qb,adot,2016-2024,990,0.0414,96,42.0
qb,completion_pct,2016-2024,990,0.0414,96,42.0
qb,cpoe,2016-2024,990,0.0606,96,42.0
qb,cpoe_coverage_fraction,2016-2024,990,0.0414,96,42.0
qb,dropback_success_rate,2016-2024,990,0.0,96,42.0
qb,epa_per_dropback,2016-2024,990,0.0,96,42.0
qb,explosive_pass_rate,2016-2024,990,0.0414,96,42.0
qb,interception_rate,2016-2024,990,0.0414,96,42.0
qb,sack_rate,2016-2024,990,0.0,96,42.0
qb,yards_per_attempt,2016-2024,990,0.0414,96,42.0
rb,explosive_rush_rate,2016-2024,3011,0.0,303,7.0
rb,fumble_lost_rate,2016-2024,3011,0.0,303,7.0
rb,rush_epa_per_att,2016-2024,3011,0.0,303,7.0
rb,rush_success_rate,2016-2024,3011,0.0,303,7.0
rb,yards_per_carry,2016-2024,3011,0.0,303,7.0
special_teams,fg_pct,2016-2024,288,0.0,32,231.0
special_teams,st_epa_per_play,2016-2024,288,0.0,32,231.0
team_defense,early_down_epa_per_play,2016-2024,288,0.0,32,1106.5
team_defense,epa_per_play,2016-2024,288,0.0,32,1106.5
team_defense,explosive_pass_rate,2016-2024,288,0.0,32,1106.5
team_defense,explosive_rush_rate,2016-2024,288,0.0,32,1106.5
team_defense,pass_epa_per_dropback,2016-2024,288,0.0,32,1106.5
team_defense,pass_success_rate,2016-2024,288,0.0,32,1106.5
team_defense,rush_epa_per_play,2016-2024,288,0.0,32,1106.5
team_defense,rush_success_rate,2016-2024,288,0.0,32,1106.5
team_defense,success_rate,2016-2024,288,0.0,32,1106.5
team_offense,early_down_epa_per_play,2016-2024,288,0.0,32,1107.0
team_offense,epa_per_play,2016-2024,288,0.0,32,1107.0
team_offense,explosive_pass_rate,2016-2024,288,0.0,32,1107.0
team_offense,explosive_rush_rate,2016-2024,288,0.0,32,1107.0
team_offense,pass_epa_per_dropback,2016-2024,288,0.0,32,1107.0
team_offense,pass_success_rate,2016-2024,288,0.0,32,1107.0
team_offense,proe,2016-2024,288,0.0,32,1107.0
team_offense,rush_epa_per_play,2016-2024,288,0.0,32,1107.0
team_offense,rush_success_rate,2016-2024,288,0.0,32,1107.0
team_offense,success_rate,2016-2024,288,0.0,32,1107.0
wr,adot,2016-2024,4569,0.0,483,21.0
wr,catch_rate,2016-2024,4569,0.0,483,21.0
wr,epa_per_target,2016-2024,4569,0.0,483,21.0
wr,explosive_rec_rate,2016-2024,4569,0.0,483,21.0
wr,target_success_rate,2016-2024,4569,0.0,483,21.0
wr,yards_per_reception,2016-2024,4569,0.0446,483,21.0
wr,yards_per_target,2016-2024,4569,0.0,483,21.0
