family,group,metric_a,metric_b,pearson,spearman,n_entity_seasons,seasons,note
team_offense,core_efficiency,epa_per_play,pass_epa_per_dropback,0.961745392047369,0.9542823585675304,288,2016-2024,descriptive overlap only; do NOT select/combine on this
team_defense,core_efficiency,epa_per_play,pass_epa_per_dropback,0.9355445357525327,0.9220895675343309,288,2016-2024,descriptive overlap only; do NOT select/combine on this
team_offense,core_efficiency,epa_per_play,early_down_epa_per_play,0.929162465459255,0.9183545728190848,288,2016-2024,descriptive overlap only; do NOT select/combine on this
team_offense,core_efficiency,epa_per_play,success_rate,0.9024105672774656,0.8884213656768304,288,2016-2024,descriptive overlap only; do NOT select/combine on this
team_offense,core_efficiency,pass_epa_per_dropback,early_down_epa_per_play,0.8903646330711478,0.8716744229973196,288,2016-2024,descriptive overlap only; do NOT select/combine on this
qb,efficiency,epa_per_dropback,dropback_success_rate,0.8772887823558009,0.8731219493759937,314,2016-2024,descriptive overlap only; do NOT select/combine on this
team_offense,core_efficiency,success_rate,early_down_epa_per_play,0.8731630937068371,0.8635594122871532,288,2016-2024,descriptive overlap only; do NOT select/combine on this
team_defense,core_efficiency,epa_per_play,early_down_epa_per_play,0.8725461500902408,0.8583183632132911,288,2016-2024,descriptive overlap only; do NOT select/combine on this
team_offense,core_efficiency,success_rate,pass_epa_per_dropback,0.8548458812639772,0.838115231745496,288,2016-2024,descriptive overlap only; do NOT select/combine on this
qb,accuracy,completion_pct,cpoe,0.8239902670367903,0.7920119074267341,314,2016-2024,descriptive overlap only; do NOT select/combine on this
qb,efficiency,epa_per_dropback,yards_per_attempt,0.8061982403852334,0.8107087380240144,314,2016-2024,descriptive overlap only; do NOT select/combine on this
team_defense,core_efficiency,epa_per_play,success_rate,0.8016169500399327,0.7799422494966424,288,2016-2024,descriptive overlap only; do NOT select/combine on this
wr,efficiency,epa_per_target,yards_per_target,0.7956916327414582,0.8042303646317567,2471,2016-2024,descriptive overlap only; do NOT select/combine on this
team_defense,core_efficiency,pass_epa_per_dropback,early_down_epa_per_play,0.79127930603494,0.7569580917015302,288,2016-2024,descriptive overlap only; do NOT select/combine on this
wr,efficiency,epa_per_target,target_success_rate,0.7726293941247275,0.7706285685461912,2471,2016-2024,descriptive overlap only; do NOT select/combine on this
team_defense,core_efficiency,success_rate,early_down_epa_per_play,0.7611996337005561,0.7477163031640205,288,2016-2024,descriptive overlap only; do NOT select/combine on this
