name,family,taxonomy,source,direction,grain,earliest_valid_season,proposed_role,predictive_status
qb.epa_per_dropback,qb,core_efficiency,pbp,higher_better,player,1999,candidate_signal,UNVALIDATED
qb.dropback_success_rate,qb,core_efficiency,pbp,higher_better,player,1999,candidate_signal,UNVALIDATED
qb.cpoe,qb,process_style,pbp,higher_better,player,2006,candidate_signal,UNVALIDATED
qb.cpoe_coverage_fraction,qb,availability,pbp,neutral,player,2006,availability_adjustment,UNVALIDATED
qb.sack_rate,qb,core_efficiency,pbp,lower_better,player,1999,candidate_signal,UNVALIDATED
qb.yards_per_attempt,qb,core_efficiency,pbp,higher_better,player,1999,candidate_signal,UNVALIDATED
qb.completion_pct,qb,core_efficiency,pbp,higher_better,player,1999,descriptive,UNVALIDATED
qb.adot,qb,process_style,pbp,neutral,player,2006,descriptive,UNVALIDATED
qb.interception_rate,qb,outcome_noise,pbp,lower_better,player,1999,descriptive,UNVALIDATED
qb.explosive_pass_rate,qb,outcome_noise,pbp,higher_better,player,1999,descriptive,UNVALIDATED
qb.ngs_avg_time_to_throw,qb,process_style,ngs_passing,neutral,player,2016,descriptive,UNVALIDATED
qb.ngs_aggressiveness,qb,process_style,ngs_passing,neutral,player,2016,descriptive,UNVALIDATED
qb.ngs_cpoe,qb,process_style,ngs_passing,higher_better,player,2016,descriptive,UNVALIDATED
rb.rush_epa_per_att,rb,core_efficiency,pbp,higher_better,player,1999,candidate_signal,UNVALIDATED
rb.rush_success_rate,rb,core_efficiency,pbp,higher_better,player,1999,candidate_signal,UNVALIDATED
rb.yards_per_carry,rb,core_efficiency,pbp,higher_better,player,1999,descriptive,UNVALIDATED
rb.explosive_rush_rate,rb,outcome_noise,pbp,higher_better,player,1999,descriptive,UNVALIDATED
rb.fumble_lost_rate,rb,outcome_noise,pbp,lower_better,player,1999,descriptive,UNVALIDATED
rb.ngs_ryoe_per_att,rb,core_efficiency,ngs_rushing,higher_better,player,2018,candidate_signal,UNVALIDATED
wr.targets,wr,volume,pbp,neutral,player,1999,availability_adjustment,UNVALIDATED
wr.catch_rate,wr,core_efficiency,pbp,higher_better,player,1999,descriptive,UNVALIDATED
wr.yards_per_target,wr,core_efficiency,pbp,higher_better,player,1999,candidate_signal,UNVALIDATED
wr.epa_per_target,wr,core_efficiency,pbp,higher_better,player,1999,descriptive,UNVALIDATED
wr.target_success_rate,wr,core_efficiency,pbp,higher_better,player,1999,descriptive,UNVALIDATED
wr.adot,wr,process_style,pbp,neutral,player,2006,descriptive,UNVALIDATED
wr.explosive_rec_rate,wr,outcome_noise,pbp,higher_better,player,1999,descriptive,UNVALIDATED
wr.target_share,wr,volume,player_stats,higher_better,player,1999,availability_adjustment,UNVALIDATED
wr.air_yards_share,wr,volume,player_stats,higher_better,player,2006,availability_adjustment,UNVALIDATED
wr.wopr,wr,volume,player_stats,higher_better,player,2006,availability_adjustment,UNVALIDATED
wr.ngs_avg_separation,wr,process_style,ngs_receiving,higher_better,player,2016,descriptive,UNVALIDATED
wr.ngs_yac_above_expectation,wr,core_efficiency,ngs_receiving,higher_better,player,2016,descriptive,UNVALIDATED
team_offense.epa_per_play,team_offense,core_efficiency,pbp,higher_better,team,1999,candidate_signal,UNVALIDATED
team_offense.success_rate,team_offense,core_efficiency,pbp,higher_better,team,1999,candidate_signal,UNVALIDATED
team_offense.pass_epa_per_dropback,team_offense,core_efficiency,pbp,higher_better,team,1999,candidate_signal,UNVALIDATED
