family,metric,method,n_pairs,pearson,spearman,spearman_brown_pearson,is_retrospective,seasons,note
pass_protection,qb_hit_rate_allowed,first_second_half,288,0.5589099974854042,0.5717299832415033,0.7170522972935609,false,2016-2024,descriptive stability only; not predictive value
pass_protection,qb_hit_rate_allowed,odd_even,288,0.6319788725706091,0.6229287984921373,0.7744939388524663,false,2016-2024,descriptive stability only; not predictive value
pass_protection,qb_hit_rate_allowed,std_vs_rest_of_season,288,0.5572540370204015,0.5708609125142167,,true,2016-2024,RETROSPECTIVE — uses future observations; never feeds production
pass_protection,rush_stuffed_rate_approx,first_second_half,288,0.34095949569757017,0.3189208251449791,0.5085306406219261,false,2016-2024,descriptive stability only; not predictive value
pass_protection,rush_stuffed_rate_approx,odd_even,288,0.3244895002223833,0.30726623504495054,0.48998425456434525,false,2016-2024,descriptive stability only; not predictive value
pass_protection,rush_stuffed_rate_approx,std_vs_rest_of_season,288,0.32716817593571873,0.30667998906879823,,true,2016-2024,RETROSPECTIVE — uses future observations; never feeds production
pass_protection,sack_rate_allowed,first_second_half,288,0.4463775151750391,0.45413667619128,0.6172351415750803,false,2016-2024,descriptive stability only; not predictive value
pass_protection,sack_rate_allowed,odd_even,288,0.46565992834128944,0.47549120078447454,0.6354269763904703,false,2016-2024,descriptive stability only; not predictive value
pass_protection,sack_rate_allowed,std_vs_rest_of_season,288,0.4512043039047745,0.4529109348186908,,true,2016-2024,RETROSPECTIVE — uses future observations; never feeds production
pass_rush,qb_hit_rate_generated,first_second_half,288,0.28695991294419654,0.28790705665336436,0.4459500409577082,false,2016-2024,descriptive stability only; not predictive value
pass_rush,qb_hit_rate_generated,odd_even,288,0.20365304946318943,0.2012170004300142,0.3383916146833434,false,2016-2024,descriptive stability only; not predictive value
pass_rush,qb_hit_rate_generated,std_vs_rest_of_season,288,0.2703994023115754,0.2763594677469266,,true,2016-2024,RETROSPECTIVE — uses future observations; never feeds production
pass_rush,sack_rate_generated,first_second_half,288,0.11706158043311132,0.10709463125278806,0.2095884103143602,false,2016-2024,descriptive stability only; not predictive value
pass_rush,sack_rate_generated,odd_even,288,0.1392973679276618,0.13682739953944278,0.24453206309260306,false,2016-2024,descriptive stability only; not predictive value
pass_rush,sack_rate_generated,std_vs_rest_of_season,288,0.13370602271953705,0.11744661996792981,,true,2016-2024,RETROSPECTIVE — uses future observations; never feeds production
qb,adot,first_second_half,314,0.4945387783117335,0.43624574959712614,0.6617945087652745,false,2016-2024,descriptive stability only; not predictive value
qb,adot,odd_even,314,0.4857618938823394,0.48780234911978254,0.6538892885629599,false,2016-2024,descriptive stability only; not predictive value
qb,adot,std_vs_rest_of_season,308,0.2539732886934186,0.4533938279550373,,true,2016-2024,RETROSPECTIVE — uses future observations; never feeds production
qb,completion_pct,first_second_half,314,0.3255041793594615,0.39138436433159773,0.49114017809699945,false,2016-2024,descriptive stability only; not predictive value
qb,completion_pct,odd_even,314,0.30949704514166115,0.3188800739562832,0.4726960572991286,false,2016-2024,descriptive stability only; not predictive value
qb,completion_pct,std_vs_rest_of_season,308,0.050112707051393104,0.33089386183848724,,true,2016-2024,RETROSPECTIVE — uses future observations; never feeds production
qb,cpoe,first_second_half,314,0.282645818707798,0.3998726696067002,0.4407230968757215,false,2016-2024,descriptive stability only; not predictive value
qb,cpoe,odd_even,314,0.2977970897617816,0.36138206773317977,0.4589270420022964,false,2016-2024,descriptive stability only; not predictive value
qb,cpoe,std_vs_rest_of_season,308,0.058643339860409816,0.3408761315532133,,true,2016-2024,RETROSPECTIVE — uses future observations; never feeds production
qb,cpoe_coverage_fraction,first_second_half,314,0.45454545780715133,0.49962605175970787,0.6250000030833227,false,2016-2024,descriptive stability only; not predictive value
qb,cpoe_coverage_fraction,odd_even,314,0.5697642261250719,0.6138036224237157,0.7259233159256308,false,2016-2024,descriptive stability only; not predictive value
qb,cpoe_coverage_fraction,std_vs_rest_of_season,308,0.37132589459507126,0.4363679077318748,,true,2016-2024,RETROSPECTIVE — uses future observations; never feeds production
qb,dropback_success_rate,first_second_half,314,0.4678365533937104,0.5348487006776418,0.637450474049102,false,2016-2024,descriptive stability only; not predictive value
