family,metric,window,n,pearson_raw,pearson_normalized,spearman_raw,spearman_normalized,nrmse_raw,nrmse_normalized,note,ablation,skill_vs_league,skill_vs_prior_season,skill_vs_raw_trailing3,spearman,source,unit,n_pairs,n_player_seasons,earliest_valid_season,skill_vs_league_mean,corresponds_to_pbp
qb,epa_per_dropback,season_to_date,1890,0.3853110943777657,0.3963699730603775,0.3860739839695071,0.39292095643361385,1.067353730504596,1.0508790661881615,z-normalization is an affine transform per prediction date; within-season ranks are identical by construction -- differences here come only from pooling across seasons with different reference mean/sd,raw_vs_normalized,,,,,,,,,,,
qb,dropback_success_rate,season_to_date,1890,0.43924889524294797,0.45047868277322156,0.4449915230801763,0.451631425082217,1.0219760916752643,1.0056657998202547,z-normalization is an affine transform per prediction date; within-season ranks are identical by construction -- differences here come only from pooling across seasons with different reference mean/sd,raw_vs_normalized,,,,,,,,,,,
qb,sack_rate,season_to_date,1890,0.4420394120945494,0.446634258379916,0.42645876560496515,0.4269541108409796,1.00769522665351,1.006138188170251,z-normalization is an affine transform per prediction date; within-season ranks are identical by construction -- differences here come only from pooling across seasons with different reference mean/sd,raw_vs_normalized,,,,,,,,,,,
qb,yards_per_attempt,season_to_date,1890,0.365563005296545,0.37157267187705584,0.35872262947688355,0.359588564701301,1.0743002051487778,1.0634046476515173,z-normalization is an affine transform per prediction date; within-season ranks are identical by construction -- differences here come only from pooling across seasons with different reference mean/sd,raw_vs_normalized,,,,,,,,,,,
qb,completion_pct,prior_season,1543,0.23920638374573455,0.24231408121961992,0.1977392554346485,0.1907583174784685,1.0876449900507024,1.079562832715188,z-normalization is an affine transform per prediction date; within-season ranks are identical by construction -- differences here come only from pooling across seasons with different reference mean/sd,raw_vs_normalized,,,,,,,,,,,
qb,adot,prior_season,1543,0.35480347939047174,0.33312636636462817,0.3592304862406672,0.3386566831833913,1.0185494054702429,1.0255475123575766,z-normalization is an affine transform per prediction date; within-season ranks are identical by construction -- differences here come only from pooling across seasons with different reference mean/sd,raw_vs_normalized,,,,,,,,,,,
qb,cpoe,prior_season,1543,0.16475808592933663,0.18499288315674173,0.16519799157353454,0.17817866745129046,1.1155484159416809,1.0980392571138127,z-normalization is an affine transform per prediction date; within-season ranks are identical by construction -- differences here come only from pooling across seasons with different reference mean/sd,raw_vs_normalized,,,,,,,,,,,
qb,cpoe_coverage_fraction,prior_season,1543,0.4025015098795807,0.40711600450163354,0.39026417852701767,0.4195591775054501,0.9761571635351307,0.9627771553622448,z-normalization is an affine transform per prediction date; within-season ranks are identical by construction -- differences here come only from pooling across seasons with different reference mean/sd,raw_vs_normalized,,,,,,,,,,,
qb,interception_rate,prior_season,1543,0.07736983112767734,0.05372371817773253,0.06033143186451604,0.04628645926966409,1.1224776123471905,1.126809542098824,z-normalization is an affine transform per prediction date; within-season ranks are identical by construction -- differences here come only from pooling across seasons with different reference mean/sd,raw_vs_normalized,,,,,,,,,,,
qb,explosive_pass_rate,season_to_date,1890,0.25534032528787115,0.26766828066340725,0.2579299325041815,0.26240640773580653,1.1186506984681373,1.107600636491679,z-normalization is an affine transform per prediction date; within-season ranks are identical by construction -- differences here come only from pooling across seasons with different reference mean/sd,raw_vs_normalized,,,,,,,,,,,
