family,entity_type,source,metric,predictive_status,rank_persistence,best_window_h2,best_window_h4,primary_n_h2,primary_n_h4,spearman_h4,skill_vs_league_h4,skill_vs_prior_season_h4,evidence,rank_evidence
pass_protection,team,pbp,pass_protection.qb_hit_rate_allowed,UNVALIDATED,RANK_PERSISTENT,season_to_date,season_to_date,2732,2350,0.4889311153781433,0.04127087571201782,0.08658848224337568,"ambiguous (H2: win=season_to_date n=2732 skill_vs_league=0.041[0.003,0.077] skill_vs_prior=0.073[0.034] spearman=0.402[0.341] | H4: win=season_to_date n=2350 skill_vs_league=0.041[-0.024,0.100] skill_vs_prior=0.087[0.026] spearman=0.489[0.415])",H2: spearman=0.40168059542198087[0.3409569216733502] n=2732 win=season_to_date | H4: spearman=0.4889311153781433[0.4150098697447896] n=2350 win=season_to_date
pass_protection,team,pbp,pass_protection.rush_stuffed_rate_approx,NO_INCREMENTAL_PERSISTENCE,RANK_PERSISTENT,prior_season,prior_season,2732,2350,0.1986291719390543,-0.02473838830755426,0.0,"H2: win=prior_season n=2732 skill_vs_league=-0.018[-0.048,0.011] skill_vs_prior=0.000[0.000] spearman=0.153[0.089] | H4: win=prior_season n=2350 skill_vs_league=-0.025[-0.076,0.025] skill_vs_prior=0.000[0.000] spearman=0.199[0.115]",H2: spearman=0.15260247808635738[0.08883160732059192] n=2732 win=prior_season | H4: spearman=0.1986291719390543[0.11450856710802855] n=2350 win=prior_season
pass_protection,team,pbp,pass_protection.sack_rate_allowed,UNVALIDATED,RANK_PERSISTENT,season_to_date,season_to_date,2732,2350,0.3793825369368223,-0.010961521020625753,0.05881551856557932,"ambiguous (H2: win=season_to_date n=2732 skill_vs_league=-0.001[-0.037,0.035] skill_vs_prior=0.042[0.007] spearman=0.287[0.225] | H4: win=season_to_date n=2350 skill_vs_league=-0.011[-0.079,0.054] skill_vs_prior=0.059[-0.003] spearman=0.379[0.294])",H2: spearman=0.2865148912087367[0.2247048098628443] n=2732 win=season_to_date | H4: spearman=0.3793825369368223[0.2941282089549583] n=2350 win=season_to_date
pass_rush,team,pbp,pass_rush.qb_hit_rate_generated,NO_INCREMENTAL_PERSISTENCE,RANK_PERSISTENT,prior_season,prior_season,2732,2350,0.24896144854680788,-0.06418013750798424,0.0,"H2: win=prior_season n=2732 skill_vs_league=-0.032[-0.060,-0.005] skill_vs_prior=0.000[0.000] spearman=0.128[0.067] | H4: win=prior_season n=2350 skill_vs_league=-0.064[-0.117,-0.016] skill_vs_prior=0.000[0.000] spearman=0.161[0.081]",H2: spearman=0.19170832486145323[0.13645295792749626] n=2732 win=season_to_date | H4: spearman=0.24896144854680788[0.17481789539052173] n=2350 win=season_to_date
pass_rush,team,pbp,pass_rush.sack_rate_generated,NO_INCREMENTAL_PERSISTENCE,NOT_RANK_PERSISTENT,prior_season,prior_season,2732,2350,0.16526876968545384,-0.08544757217407839,0.0,"H2: win=prior_season n=2732 skill_vs_league=-0.043[-0.071,-0.018] skill_vs_prior=0.000[0.000] spearman=0.058[-0.006] | H4: win=prior_season n=2350 skill_vs_league=-0.085[-0.136,-0.041] skill_vs_prior=0.000[0.000] spearman=0.072[-0.018]",H2: spearman=0.12821102552556551[0.07023076426446573] n=2732 win=season_to_date | H4: spearman=0.16526876968545384[0.0895724998152923] n=2350 win=season_to_date
qb,player,pbp,qb.adot,NO_INCREMENTAL_PERSISTENCE,RANK_PERSISTENT,prior_season,prior_season,1922,1543,0.36469371658441174,-0.02450004410802964,0.0,"H2: win=prior_season n=1922 skill_vs_league=-0.010[-0.050,0.029] skill_vs_prior=0.000[0.000] spearman=0.293[0.213] | H4: win=prior_season n=1543 skill_vs_league=-0.025[-0.097,0.042] skill_vs_prior=0.000[0.000] spearman=0.359[0.248]",H2: spearman=0.297086863596708[0.238925658252784] n=2504 win=trailing_5 | H4: spearman=0.36469371658441174[0.28621187225952216] n=1890 win=season_to_date
qb,player,pbp,qb.completion_pct,NO_INCREMENTAL_PERSISTENCE,RANK_PERSISTENT,prior_season,prior_season,1922,1543,0.25906038340704907,-0.06547277668859919,0.0,"H2: win=prior_season n=1922 skill_vs_league=-0.021[-0.063,0.016] skill_vs_prior=0.000[0.000] spearman=0.192[0.120] | H4: win=prior_season n=1543 skill_vs_league=-0.065[-0.144,0.000] skill_vs_prior=0.000[0.000] spearman=0.198[0.092]",H2: spearman=0.2013408408661247[0.14506298729391456] n=2431 win=season_to_date | H4: spearman=0.25906038340704907[0.1796198487450856] n=1890 win=season_to_date
qb,player,pbp,qb.cpoe,NO_INCREMENTAL_PERSISTENCE,RANK_PERSISTENT,prior_season,prior_season,1922,1543,0.2499157498154447,-0.08322660312085106,0.0,"H2: win=prior_season n=1922 skill_vs_league=-0.035[-0.070,0.000] skill_vs_prior=0.000[0.000] spearman=0.155[0.092] | H4: win=prior_season n=1543 skill_vs_league=-0.083[-0.156,-0.018] skill_vs_prior=0.000[0.000] spearman=0.165[0.078]",H2: spearman=0.19999975693667646[0.13860648139323126] n=2431 win=season_to_date | H4: spearman=0.2499157498154447[0.16529510205400239] n=1890 win=season_to_date
qb,player,pbp,qb.cpoe_coverage_fraction,UNVALIDATED,RANK_PERSISTENT,prior_season,prior_season,1922,1543,0.39026417852701767,0.09124466680464016,0.0,"ambiguous (H2: win=prior_season n=1922 skill_vs_league=0.052[0.002,0.094] skill_vs_prior=0.000[0.000] spearman=0.320[0.246] | H4: win=prior_season n=1543 skill_vs_league=0.091[0.026,0.146] skill_vs_prior=0.000[0.000] spearman=0.390[0.301])",H2: spearman=0.32001716524049434[0.2458148367694589] n=1922 win=prior_season | H4: spearman=0.39026417852701767[0.3008781408992141] n=1543 win=prior_season
qb,player,pbp,qb.dropback_success_rate,NO_INCREMENTAL_PERSISTENCE,RANK_PERSISTENT,season_to_date,season_to_date,2431,1890,0.4449915230801763,0.0026820623316872183,0.05686036024048269,"H2: win=season_to_date n=2431 skill_vs_league=0.009[-0.026,0.047] skill_vs_prior=0.030[-0.015] spearman=0.359[0.304] | H4: win=season_to_date n=1890 skill_vs_league=0.003[-0.061,0.064] skill_vs_prior=0.057[-0.022] spearman=0.445[0.369]",H2: spearman=0.3591651645186218[0.30447806687694107] n=2431 win=season_to_date | H4: spearman=0.4449915230801763[0.3685478860558256] n=1890 win=season_to_date
