metric,family,reason
ngs_passing.avg_time_to_throw,ngs_passing,named in the Phase 4 spec (NGS style-trait with demonstrated season-to-season persistence in the Phase 3 external ablation)
ngs_receiving.avg_separation,ngs_receiving,named in the Phase 4 spec (NGS style-trait with demonstrated season-to-season persistence in the Phase 3 external ablation)
pass_protection.qb_hit_rate_allowed,pass_protection,"Phase 3 RANK_PERSISTENT (UNVALIDATED), spearman_h4=0.489, primary_n_h4=2350"
pass_protection.rush_stuffed_rate_approx,pass_protection,"Phase 3 RANK_PERSISTENT (NO_INCREMENTAL_PERSISTENCE), spearman_h4=0.199, primary_n_h4=2350"
pass_protection.sack_rate_allowed,pass_protection,"Phase 3 RANK_PERSISTENT (UNVALIDATED), spearman_h4=0.379, primary_n_h4=2350"
pass_rush.qb_hit_rate_generated,pass_rush,"Phase 3 RANK_PERSISTENT (NO_INCREMENTAL_PERSISTENCE), spearman_h4=0.249, primary_n_h4=2350"
qb.adot,qb,"Phase 3 RANK_PERSISTENT (NO_INCREMENTAL_PERSISTENCE), spearman_h4=0.365, primary_n_h4=1543"
qb.completion_pct,qb,"Phase 3 RANK_PERSISTENT (NO_INCREMENTAL_PERSISTENCE), spearman_h4=0.259, primary_n_h4=1543"
qb.cpoe,qb,"Phase 3 RANK_PERSISTENT (NO_INCREMENTAL_PERSISTENCE), spearman_h4=0.250, primary_n_h4=1543"
qb.cpoe_coverage_fraction,qb,"Phase 3 RANK_PERSISTENT (UNVALIDATED), spearman_h4=0.390, primary_n_h4=1543"
qb.dropback_success_rate,qb,"Phase 3 RANK_PERSISTENT (NO_INCREMENTAL_PERSISTENCE), spearman_h4=0.445, primary_n_h4=1890"
qb.epa_per_dropback,qb,"Phase 3 RANK_PERSISTENT (NO_INCREMENTAL_PERSISTENCE), spearman_h4=0.386, primary_n_h4=1890"
qb.explosive_pass_rate,qb,"Phase 3 RANK_PERSISTENT (NO_INCREMENTAL_PERSISTENCE), spearman_h4=0.258, primary_n_h4=1890"
qb.sack_rate,qb,"Phase 3 RANK_PERSISTENT (UNVALIDATED), spearman_h4=0.426, primary_n_h4=1890"
qb.yards_per_attempt,qb,"Phase 3 RANK_PERSISTENT (NO_INCREMENTAL_PERSISTENCE), spearman_h4=0.359, primary_n_h4=1890"
rb.fumble_lost_rate,rb,"Phase 3 RANK_PERSISTENT (NO_INCREMENTAL_PERSISTENCE), spearman_h4=0.388, primary_n_h4=2730"
rb.rush_epa_per_att,rb,"Phase 3 RANK_PERSISTENT (NO_INCREMENTAL_PERSISTENCE), spearman_h4=0.182, primary_n_h4=2730"
rb.rush_success_rate,rb,"Phase 3 RANK_PERSISTENT (NO_INCREMENTAL_PERSISTENCE), spearman_h4=0.239, primary_n_h4=2730"
rb.yards_per_carry,rb,"Phase 3 RANK_PERSISTENT (NO_INCREMENTAL_PERSISTENCE), spearman_h4=0.218, primary_n_h4=2730"
special_teams.st_epa_per_play,special_teams,"Phase 3 RANK_PERSISTENT (NO_INCREMENTAL_PERSISTENCE), spearman_h4=0.266, primary_n_h4=2351"
team_defense.early_down_epa_per_play,team_defense,"Phase 3 RANK_PERSISTENT (NO_INCREMENTAL_PERSISTENCE), spearman_h4=0.233, primary_n_h4=2351"
team_defense.epa_per_play,team_defense,"Phase 3 RANK_PERSISTENT (NO_INCREMENTAL_PERSISTENCE), spearman_h4=0.242, primary_n_h4=2351"
team_defense.explosive_rush_rate,team_defense,"Phase 3 RANK_PERSISTENT (NO_INCREMENTAL_PERSISTENCE), spearman_h4=0.218, primary_n_h4=2351"
team_defense.pass_epa_per_dropback,team_defense,"Phase 3 RANK_PERSISTENT (NO_INCREMENTAL_PERSISTENCE), spearman_h4=0.188, primary_n_h4=2351"
team_defense.pass_success_rate,team_defense,"Phase 3 RANK_PERSISTENT (NO_INCREMENTAL_PERSISTENCE), spearman_h4=0.225, primary_n_h4=2351"
team_defense.rush_success_rate,team_defense,"Phase 3 RANK_PERSISTENT (NO_INCREMENTAL_PERSISTENCE), spearman_h4=0.196, primary_n_h4=2351"
team_defense.success_rate,team_defense,"Phase 3 RANK_PERSISTENT (NO_INCREMENTAL_PERSISTENCE), spearman_h4=0.249, primary_n_h4=2351"
team_offense.early_down_epa_per_play,team_offense,"Phase 3 RANK_PERSISTENT (UNVALIDATED), spearman_h4=0.373, primary_n_h4=2351"
team_offense.epa_per_play,team_offense,"Phase 3 RANK_PERSISTENT (VALIDATED_PERSISTENCE), spearman_h4=0.478, primary_n_h4=2351"
team_offense.explosive_pass_rate,team_offense,"Phase 3 RANK_PERSISTENT (NO_INCREMENTAL_PERSISTENCE), spearman_h4=0.301, primary_n_h4=2351"
team_offense.pass_epa_per_dropback,team_offense,"Phase 3 RANK_PERSISTENT (UNVALIDATED), spearman_h4=0.435, primary_n_h4=2351"
team_offense.pass_success_rate,team_offense,"Phase 3 RANK_PERSISTENT (UNVALIDATED), spearman_h4=0.449, primary_n_h4=2351"
team_offense.proe,team_offense,"Phase 3 RANK_PERSISTENT (VALIDATED_PERSISTENCE), spearman_h4=0.519, primary_n_h4=2351"
team_offense.rush_epa_per_play,team_offense,"Phase 3 RANK_PERSISTENT (NO_INCREMENTAL_PERSISTENCE), spearman_h4=0.240, primary_n_h4=2351"
team_offense.rush_success_rate,team_offense,"Phase 3 RANK_PERSISTENT (NO_INCREMENTAL_PERSISTENCE), spearman_h4=0.287, primary_n_h4=2351"
team_offense.success_rate,team_offense,"Phase 3 RANK_PERSISTENT (VALIDATED_PERSISTENCE), spearman_h4=0.481, primary_n_h4=2351"
wr.adot,wr,"Phase 3 RANK_PERSISTENT (UNVALIDATED), spearman_h4=0.824, primary_n_h4=10029"
wr.catch_rate,wr,"Phase 3 RANK_PERSISTENT (NO_INCREMENTAL_PERSISTENCE), spearman_h4=0.383, primary_n_h4=9541"
wr.explosive_rec_rate,wr,"Phase 3 RANK_PERSISTENT (NO_INCREMENTAL_PERSISTENCE), spearman_h4=0.286, primary_n_h4=9541"
wr.target_success_rate,wr,"Phase 3 RANK_PERSISTENT (NO_INCREMENTAL_PERSISTENCE), spearman_h4=0.232, primary_n_h4=9541"
wr.yards_per_reception,wr,"Phase 3 RANK_PERSISTENT (UNVALIDATED), spearman_h4=0.548, primary_n_h4=9541"
wr.yards_per_target,wr,"Phase 3 RANK_PERSISTENT (NO_INCREMENTAL_PERSISTENCE), spearman_h4=0.294, primary_n_h4=9541"
