metric,oos_season,k,n_train
ngs_passing.avg_time_to_throw,2019,8.0,0
ngs_passing.avg_time_to_throw,2020,8.0,28
ngs_passing.avg_time_to_throw,2021,8.0,58
ngs_passing.avg_time_to_throw,2022,8.0,88
ngs_passing.avg_time_to_throw,2023,8.0,121
ngs_passing.avg_time_to_throw,2024,8.0,152
ngs_passing.avg_time_to_throw,2025,8.0,182
ngs_receiving.avg_separation,2019,8.0,0
ngs_receiving.avg_separation,2020,8.0,81
ngs_receiving.avg_separation,2021,8.0,175
ngs_receiving.avg_separation,2022,8.0,270
ngs_receiving.avg_separation,2023,8.0,363
ngs_receiving.avg_separation,2024,8.0,448
ngs_receiving.avg_separation,2025,8.0,538
pass_protection.sack_rate_allowed,2019,8.0,8184
pass_protection.sack_rate_allowed,2020,8.0,10908
pass_protection.sack_rate_allowed,2021,8.0,13668
pass_protection.sack_rate_allowed,2022,12.0,16636
pass_protection.sack_rate_allowed,2023,8.0,19594
pass_protection.sack_rate_allowed,2024,8.0,22566
pass_protection.sack_rate_allowed,2025,8.0,25538
pass_protection.qb_hit_rate_allowed,2019,4.0,8184
pass_protection.qb_hit_rate_allowed,2020,8.0,10908
pass_protection.qb_hit_rate_allowed,2021,8.0,13668
pass_protection.qb_hit_rate_allowed,2022,8.0,16636
pass_protection.qb_hit_rate_allowed,2023,8.0,19594
pass_protection.qb_hit_rate_allowed,2024,8.0,22566
pass_protection.qb_hit_rate_allowed,2025,8.0,25538
pass_protection.rush_stuffed_rate_approx,2019,12.0,8184
pass_protection.rush_stuffed_rate_approx,2020,16.0,10908
pass_protection.rush_stuffed_rate_approx,2021,16.0,13668
pass_protection.rush_stuffed_rate_approx,2022,16.0,16636
pass_protection.rush_stuffed_rate_approx,2023,16.0,19594
pass_protection.rush_stuffed_rate_approx,2024,16.0,22566
pass_protection.rush_stuffed_rate_approx,2025,16.0,25538
pass_rush.qb_hit_rate_generated,2019,16.0,8184
pass_rush.qb_hit_rate_generated,2020,16.0,10908
pass_rush.qb_hit_rate_generated,2021,16.0,13668
pass_rush.qb_hit_rate_generated,2022,16.0,16634
pass_rush.qb_hit_rate_generated,2023,16.0,19594
pass_rush.qb_hit_rate_generated,2024,16.0,22566
pass_rush.qb_hit_rate_generated,2025,16.0,25538
qb.epa_per_dropback,2019,8.0,6958
qb.epa_per_dropback,2020,8.0,9202
qb.epa_per_dropback,2021,8.0,11502
qb.epa_per_dropback,2022,8.0,13996
qb.epa_per_dropback,2023,8.0,16370
qb.epa_per_dropback,2024,8.0,18710
qb.epa_per_dropback,2025,8.0,21217
qb.dropback_success_rate,2019,4.0,6958
qb.dropback_success_rate,2020,8.0,9202
qb.dropback_success_rate,2021,8.0,11502
qb.dropback_success_rate,2022,8.0,13996
qb.dropback_success_rate,2023,8.0,16370
qb.dropback_success_rate,2024,8.0,18710
qb.dropback_success_rate,2025,8.0,21217
qb.sack_rate,2019,4.0,6958
qb.sack_rate,2020,8.0,9202
qb.sack_rate,2021,8.0,11502
qb.sack_rate,2022,8.0,13996
qb.sack_rate,2023,8.0,16370
qb.sack_rate,2024,8.0,18710
qb.sack_rate,2025,8.0,21217
qb.yards_per_attempt,2019,8.0,6958
qb.yards_per_attempt,2020,12.0,9202
qb.yards_per_attempt,2021,12.0,11502
qb.yards_per_attempt,2022,12.0,13996
qb.yards_per_attempt,2023,12.0,16370
qb.yards_per_attempt,2024,12.0,18710
qb.yards_per_attempt,2025,12.0,21217
qb.completion_pct,2019,4.0,6958
qb.completion_pct,2020,4.0,9202
qb.completion_pct,2021,8.0,11502
qb.completion_pct,2022,8.0,13996
qb.completion_pct,2023,8.0,16370
qb.completion_pct,2024,8.0,18710
qb.completion_pct,2025,8.0,21217
qb.adot,2019,8.0,6958
qb.adot,2020,8.0,9202
qb.adot,2021,8.0,11502
qb.adot,2022,8.0,13996
qb.adot,2023,8.0,16370
qb.adot,2024,8.0,18710
qb.adot,2025,8.0,21217
qb.cpoe,2019,8.0,6958
qb.cpoe,2020,8.0,9202
qb.cpoe,2021,8.0,11502
qb.cpoe,2022,8.0,13996
qb.cpoe,2023,12.0,16370
qb.cpoe,2024,12.0,18710
qb.cpoe,2025,12.0,21217
qb.cpoe_coverage_fraction,2019,4.0,6958
qb.cpoe_coverage_fraction,2020,2.0,9202
qb.cpoe_coverage_fraction,2021,2.0,11502
qb.cpoe_coverage_fraction,2022,4.0,13996
qb.cpoe_coverage_fraction,2023,4.0,16370
qb.cpoe_coverage_fraction,2024,4.0,18710
qb.cpoe_coverage_fraction,2025,4.0,21217
qb.explosive_pass_rate,2019,16.0,6958
qb.explosive_pass_rate,2020,16.0,9202
qb.explosive_pass_rate,2021,16.0,11502
qb.explosive_pass_rate,2022,16.0,13996
qb.explosive_pass_rate,2023,16.0,16370
qb.explosive_pass_rate,2024,16.0,18710
qb.explosive_pass_rate,2025,16.0,21217
rb.rush_epa_per_att,2019,16.0,10372
rb.rush_epa_per_att,2020,16.0,13877
rb.rush_epa_per_att,2021,16.0,17538
rb.rush_epa_per_att,2022,16.0,21454
rb.rush_epa_per_att,2023,16.0,25501
rb.rush_epa_per_att,2024,16.0,29689
rb.rush_epa_per_att,2025,16.0,33855
rb.rush_success_rate,2019,16.0,10372
rb.rush_success_rate,2020,16.0,13877
rb.rush_success_rate,2021,16.0,17538
rb.rush_success_rate,2022,16.0,21454
rb.rush_success_rate,2023,12.0,25501
rb.rush_success_rate,2024,12.0,29689
rb.rush_success_rate,2025,12.0,33855
rb.yards_per_carry,2019,16.0,10372
rb.yards_per_carry,2020,16.0,13877
rb.yards_per_carry,2021,16.0,17538
rb.yards_per_carry,2022,16.0,21454
rb.yards_per_carry,2023,16.0,25501
rb.yards_per_carry,2024,16.0,29689
rb.yards_per_carry,2025,16.0,33855
rb.fumble_lost_rate,2019,16.0,10372
rb.fumble_lost_rate,2020,16.0,13877
rb.fumble_lost_rate,2021,16.0,17538
rb.fumble_lost_rate,2022,16.0,21454
rb.fumble_lost_rate,2023,16.0,25501
rb.fumble_lost_rate,2024,16.0,29689
rb.fumble_lost_rate,2025,16.0,33855
special_teams.st_epa_per_play,2019,16.0,7572
special_teams.st_epa_per_play,2020,16.0,10025
special_teams.st_epa_per_play,2021,16.0,12544
special_teams.st_epa_per_play,2022,16.0,15125
special_teams.st_epa_per_play,2023,16.0,17767
special_teams.st_epa_per_play,2024,16.0,20382
special_teams.st_epa_per_play,2025,16.0,23022
team_defense.epa_per_play,2019,16.0,8184
team_defense.epa_per_play,2020,16.0,10912
team_defense.epa_per_play,2021,16.0,13672
team_defense.epa_per_play,2022,16.0,16640
team_defense.epa_per_play,2023,16.0,19600
team_defense.epa_per_play,2024,16.0,22572
team_defense.epa_per_play,2025,16.0,25544
team_defense.success_rate,2019,16.0,8184
team_defense.success_rate,2020,16.0,10912
team_defense.success_rate,2021,12.0,13672
team_defense.success_rate,2022,16.0,16640
team_defense.success_rate,2023,16.0,19600
team_defense.success_rate,2024,16.0,22572
team_defense.success_rate,2025,16.0,25544
team_defense.pass_epa_per_dropback,2019,16.0,8184
team_defense.pass_epa_per_dropback,2020,16.0,10912
team_defense.pass_epa_per_dropback,2021,16.0,13672
team_defense.pass_epa_per_dropback,2022,16.0,16640
team_defense.pass_epa_per_dropback,2023,16.0,19600
team_defense.pass_epa_per_dropback,2024,16.0,22572
team_defense.pass_epa_per_dropback,2025,16.0,25544
team_defense.pass_success_rate,2019,16.0,8184
team_defense.pass_success_rate,2020,16.0,10912
team_defense.pass_success_rate,2021,16.0,13672
team_defense.pass_success_rate,2022,16.0,16640
team_defense.pass_success_rate,2023,16.0,19600
team_defense.pass_success_rate,2024,16.0,22572
team_defense.pass_success_rate,2025,16.0,25544
team_defense.rush_success_rate,2019,16.0,8184
team_defense.rush_success_rate,2020,16.0,10912
team_defense.rush_success_rate,2021,16.0,13672
team_defense.rush_success_rate,2022,16.0,16640
team_defense.rush_success_rate,2023,16.0,19600
team_defense.rush_success_rate,2024,16.0,22572
team_defense.rush_success_rate,2025,16.0,25544
team_defense.early_down_epa_per_play,2019,16.0,8184
team_defense.early_down_epa_per_play,2020,16.0,10912
team_defense.early_down_epa_per_play,2021,16.0,13672
team_defense.early_down_epa_per_play,2022,16.0,16640
team_defense.early_down_epa_per_play,2023,16.0,19600
team_defense.early_down_epa_per_play,2024,16.0,22572
team_defense.early_down_epa_per_play,2025,16.0,25544
team_defense.explosive_rush_rate,2019,16.0,8184
team_defense.explosive_rush_rate,2020,16.0,10912
team_defense.explosive_rush_rate,2021,16.0,13672
team_defense.explosive_rush_rate,2022,16.0,16640
team_defense.explosive_rush_rate,2023,16.0,19600
team_defense.explosive_rush_rate,2024,16.0,22572
team_defense.explosive_rush_rate,2025,16.0,25544
team_offense.epa_per_play,2019,4.0,8184
team_offense.epa_per_play,2020,8.0,10912
team_offense.epa_per_play,2021,8.0,13672
team_offense.epa_per_play,2022,8.0,16640
team_offense.epa_per_play,2023,8.0,19600
team_offense.epa_per_play,2024,8.0,22572
team_offense.epa_per_play,2025,8.0,25544
team_offense.success_rate,2019,4.0,8184
team_offense.success_rate,2020,8.0,10912
team_offense.success_rate,2021,4.0,13672
team_offense.success_rate,2022,8.0,16640
team_offense.success_rate,2023,8.0,19600
team_offense.success_rate,2024,4.0,22572
team_offense.success_rate,2025,4.0,25544
team_offense.pass_epa_per_dropback,2019,8.0,8184
team_offense.pass_epa_per_dropback,2020,8.0,10912
team_offense.pass_epa_per_dropback,2021,8.0,13672
team_offense.pass_epa_per_dropback,2022,8.0,16640
team_offense.pass_epa_per_dropback,2023,8.0,19600
team_offense.pass_epa_per_dropback,2024,8.0,22572
team_offense.pass_epa_per_dropback,2025,8.0,25544
team_offense.pass_success_rate,2019,8.0,8184
team_offense.pass_success_rate,2020,8.0,10912
team_offense.pass_success_rate,2021,8.0,13672
team_offense.pass_success_rate,2022,8.0,16640
team_offense.pass_success_rate,2023,8.0,19600
team_offense.pass_success_rate,2024,8.0,22572
team_offense.pass_success_rate,2025,8.0,25544
team_offense.rush_epa_per_play,2019,16.0,8184
team_offense.rush_epa_per_play,2020,16.0,10912
team_offense.rush_epa_per_play,2021,16.0,13672
team_offense.rush_epa_per_play,2022,12.0,16640
team_offense.rush_epa_per_play,2023,16.0,19600
team_offense.rush_epa_per_play,2024,16.0,22572
team_offense.rush_epa_per_play,2025,16.0,25544
team_offense.rush_success_rate,2019,12.0,8184
team_offense.rush_success_rate,2020,12.0,10912
team_offense.rush_success_rate,2021,12.0,13672
team_offense.rush_success_rate,2022,12.0,16640
team_offense.rush_success_rate,2023,12.0,19600
team_offense.rush_success_rate,2024,12.0,22572
team_offense.rush_success_rate,2025,12.0,25544
team_offense.early_down_epa_per_play,2019,8.0,8184
team_offense.early_down_epa_per_play,2020,8.0,10912
team_offense.early_down_epa_per_play,2021,8.0,13672
team_offense.early_down_epa_per_play,2022,8.0,16640
team_offense.early_down_epa_per_play,2023,8.0,19600
team_offense.early_down_epa_per_play,2024,8.0,22572
team_offense.early_down_epa_per_play,2025,8.0,25544
team_offense.explosive_pass_rate,2019,16.0,8184
team_offense.explosive_pass_rate,2020,16.0,10912
team_offense.explosive_pass_rate,2021,16.0,13672
team_offense.explosive_pass_rate,2022,16.0,16640
team_offense.explosive_pass_rate,2023,16.0,19600
team_offense.explosive_pass_rate,2024,16.0,22572
team_offense.explosive_pass_rate,2025,16.0,25544
team_offense.proe,2019,8.0,8184
team_offense.proe,2020,8.0,10912
team_offense.proe,2021,4.0,13672
team_offense.proe,2022,4.0,16640
team_offense.proe,2023,4.0,19600
team_offense.proe,2024,4.0,22572
team_offense.proe,2025,4.0,25544
wr.catch_rate,2019,8.0,35610
wr.catch_rate,2020,8.0,46995
wr.catch_rate,2021,8.0,58816
wr.catch_rate,2022,8.0,71595
wr.catch_rate,2023,8.0,83936
wr.catch_rate,2024,8.0,96668
wr.catch_rate,2025,8.0,109258
wr.yards_per_target,2019,16.0,35610
wr.yards_per_target,2020,16.0,46995
wr.yards_per_target,2021,16.0,58816
wr.yards_per_target,2022,16.0,71595
wr.yards_per_target,2023,16.0,83936
wr.yards_per_target,2024,16.0,96668
wr.yards_per_target,2025,16.0,109258
wr.yards_per_reception,2019,8.0,35564
wr.yards_per_reception,2020,8.0,46943
wr.yards_per_reception,2021,8.0,58751
wr.yards_per_reception,2022,4.0,71512
wr.yards_per_reception,2023,4.0,83841
wr.yards_per_reception,2024,4.0,96562
wr.yards_per_reception,2025,4.0,109132
wr.adot,2019,1.0,35610
wr.adot,2020,1.0,46995
wr.adot,2021,1.0,58816
wr.adot,2022,1.0,71595
wr.adot,2023,1.0,83936
wr.adot,2024,1.0,96668
wr.adot,2025,1.0,109258
wr.target_success_rate,2019,16.0,35610
wr.target_success_rate,2020,16.0,46995
wr.target_success_rate,2021,16.0,58816
wr.target_success_rate,2022,16.0,71595
wr.target_success_rate,2023,16.0,83936
wr.target_success_rate,2024,16.0,96668
wr.target_success_rate,2025,16.0,109258
wr.explosive_rec_rate,2019,16.0,35610
wr.explosive_rec_rate,2020,16.0,46995
wr.explosive_rec_rate,2021,16.0,58816
wr.explosive_rec_rate,2022,16.0,71595
wr.explosive_rec_rate,2023,16.0,83936
wr.explosive_rec_rate,2024,16.0,96668
wr.explosive_rec_rate,2025,16.0,109258
