family,metric,shrinkage_status,shrinkage_evidence,opponent_adjustment_status,opponent_adjustment_evidence,combined
ngs_passing,ngs_passing.avg_time_to_throw,INSUFFICIENT_DATA,season-to-season: skill_shrunk_vs_prior=0.118[0.07428033542932744] n=213,NOT_APPLICABLE,style trait; not in the per-game pipeline,NEITHER
ngs_receiving,ngs_receiving.avg_separation,SHRINKAGE_ADDS_VALUE,season-to-season: skill_shrunk_vs_prior=0.131[0.08529770244933307] n=632,NOT_APPLICABLE,style trait; not in the per-game pipeline,SHRINKAGE_ONLY
pass_protection,pass_protection.qb_hit_rate_allowed,SHRINKAGE_ADDS_VALUE,H2: skill_vs_ref=0.046[0.028] n=2732 | H4: skill_vs_ref=0.089[0.057] n=2350,NO_INCREMENTAL_VALUE,H2: skill_vs_ref=-0.051[-0.072] n=2721 | H4: skill_vs_ref=-0.079[-0.114] n=2341,SHRINKAGE_ONLY
pass_protection,pass_protection.rush_stuffed_rate_approx,SHRINKAGE_ADDS_VALUE,H2: skill_vs_ref=0.060[0.045] n=2732 | H4: skill_vs_ref=0.103[0.074] n=2350,NO_INCREMENTAL_VALUE,H2: skill_vs_ref=-0.015[-0.026] n=2721 | H4: skill_vs_ref=-0.022[-0.040] n=2341,SHRINKAGE_ONLY
pass_protection,pass_protection.sack_rate_allowed,SHRINKAGE_ADDS_VALUE,H2: skill_vs_ref=0.053[0.037] n=2732 | H4: skill_vs_ref=0.098[0.067] n=2350,NO_INCREMENTAL_VALUE,H2: skill_vs_ref=-0.030[-0.051] n=2721 | H4: skill_vs_ref=-0.055[-0.093] n=2341,SHRINKAGE_ONLY
pass_rush,pass_rush.qb_hit_rate_generated,SHRINKAGE_ADDS_VALUE,H2: skill_vs_ref=0.064[0.051] n=2732 | H4: skill_vs_ref=0.117[0.093] n=2350,NO_INCREMENTAL_VALUE,H2: skill_vs_ref=-0.016[-0.028] n=2721 | H4: skill_vs_ref=-0.029[-0.049] n=2341,SHRINKAGE_ONLY
qb,qb.adot,SHRINKAGE_ADDS_VALUE,H2: skill_vs_ref=0.072[0.055] n=2431 | H4: skill_vs_ref=0.106[0.074] n=1890,NO_INCREMENTAL_VALUE,H2: skill_vs_ref=-0.011[-0.029] n=2420 | H4: skill_vs_ref=-0.015[-0.045] n=1881,SHRINKAGE_ONLY
qb,qb.completion_pct,SHRINKAGE_ADDS_VALUE,H2: skill_vs_ref=0.081[0.063] n=2431 | H4: skill_vs_ref=0.144[0.114] n=1890,NO_INCREMENTAL_VALUE,H2: skill_vs_ref=-0.005[-0.024] n=2420 | H4: skill_vs_ref=-0.004[-0.037] n=1881,SHRINKAGE_ONLY
qb,qb.cpoe,SHRINKAGE_ADDS_VALUE,H2: skill_vs_ref=0.086[0.066] n=2431 | H4: skill_vs_ref=0.155[0.123] n=1890,NO_INCREMENTAL_VALUE,H2: skill_vs_ref=-0.011[-0.028] n=2420 | H4: skill_vs_ref=-0.013[-0.045] n=1881,SHRINKAGE_ONLY
qb,qb.cpoe_coverage_fraction,SHRINKAGE_ADDS_VALUE,H2: skill_vs_ref=0.046[0.033] n=2431 | H4: skill_vs_ref=0.069[0.043] n=1890,NO_INCREMENTAL_VALUE,H2: skill_vs_ref=-0.043[-0.067] n=2420 | H4: skill_vs_ref=-0.062[-0.108] n=1881,SHRINKAGE_ONLY
qb,qb.dropback_success_rate,SHRINKAGE_ADDS_VALUE,H2: skill_vs_ref=0.063[0.043] n=2431 | H4: skill_vs_ref=0.113[0.079] n=1890,NO_INCREMENTAL_VALUE,H2: skill_vs_ref=-0.043[-0.062] n=2420 | H4: skill_vs_ref=-0.071[-0.106] n=1881,SHRINKAGE_ONLY
