family,metric,stage,horizon,n,spearman,skill_vs_reference,skill_vs_reference_ci_lo,skill_vs_reference_ci_hi,skill_vs_league,skill_vs_prior_season,reference_col
pass_protection,qb_hit_rate_allowed,oppadj_raw,2,2721,0.31700744675107423,-0.035002244472482014,-0.056214568859266185,-0.018161105786644455,0.0521027833548815,0.08352864816762551,shrunk_feature
pass_protection,qb_hit_rate_allowed,oppadj_raw,4,2341,0.39304200968638164,-0.05130630066746966,-0.08514086349022965,-0.0203156127002822,0.08064278433662186,0.1243366819700994,shrunk_feature
pass_protection,qb_hit_rate_allowed,oppadj_shrunk,2,2721,0.3118766404074403,-0.05080092354231769,-0.07212967038213525,-0.032377908493285555,0.037633709498332,0.06953927100286594,shrunk_feature
pass_protection,qb_hit_rate_allowed,oppadj_shrunk,4,2341,0.3848003578748102,-0.07908709128069202,-0.11449213375977045,-0.046464880238026876,0.05634875100791081,0.1011972607848336,shrunk_feature
pass_protection,rush_stuffed_rate_approx,oppadj_raw,2,2721,0.1552263281573032,-0.008502726504756142,-0.022291478485862187,0.003142607772487353,0.01672518111824839,0.033954379770380516,shrunk_feature
pass_protection,rush_stuffed_rate_approx,oppadj_raw,4,2341,0.2130694850299448,-0.008616599404194236,-0.034065211774750394,0.013391648646625691,0.02912442046485264,0.052499568805728036,shrunk_feature
pass_protection,rush_stuffed_rate_approx,oppadj_shrunk,2,2721,0.08777394765535179,-0.01502515460524978,-0.026141885894525395,-0.004294075850332713,0.010365912927264631,0.02770654034055353,shrunk_feature
pass_protection,rush_stuffed_rate_approx,oppadj_shrunk,4,2341,0.12168227687502953,-0.021531024613794525,-0.04026274138454756,-0.003075228645260403,0.01669323495081243,0.040367680968515396,shrunk_feature
pass_protection,sack_rate_allowed,oppadj_raw,2,2721,0.23087437353048637,-0.020810821037916982,-0.03980302498325936,-0.0056490436730578355,0.031760841064917056,0.07238287694991408,shrunk_feature
pass_protection,sack_rate_allowed,oppadj_raw,4,2341,0.3107061436045634,-0.0378108948281497,-0.07213919998895527,-0.009464207286090681,0.0543137991260062,0.1176588152714465,shrunk_feature
pass_protection,sack_rate_allowed,oppadj_shrunk,2,2721,0.2022600882600496,-0.03008585609908998,-0.05110123434435711,-0.013144698899184699,0.022963469444588158,0.06395459507601486,shrunk_feature
pass_protection,sack_rate_allowed,oppadj_shrunk,4,2341,0.2725977751109522,-0.05539938307000836,-0.09281235782767583,-0.023763083017201144,0.038286610832406365,0.10270517812016611,shrunk_feature
pass_rush,qb_hit_rate_generated,oppadj_raw,2,2721,0.15562854084860236,-0.009343008963514476,-0.019375445443690666,-0.001505818886962185,0.012108684855507201,0.043401945357335436,shrunk_feature
