family,metric,permuted_opponents,n_train_games,n_entities,n_opponents,alpha,intercept,home_coef,entity_coef_sd,opponent_coef_sd,entity_coef_absmax,opponent_coef_absmax,residual_var,raw_metric_var,fitted_var_frac_entity,fitted_var_frac_opponent,r2_in_sample
team_offense,epa_per_play,false,1410,32,32,3.0,-0.00931,0.00851,0.05909,0.03449,0.14325,0.08393,0.032421,0.037866,0.743,0.247,0.144
team_offense,epa_per_play,true,1410,32,32,3.0,-0.00947,0.00789,0.05958,0.03117,0.14415,0.08696,0.032675,0.037866,0.793,0.21,0.137
team_defense,epa_per_play,false,1410,32,32,30.0,-0.00048,-0.00828,0.02199,0.03773,0.05406,0.09424,0.03327,0.037866,0.242,0.731,0.121
team_defense,epa_per_play,true,1410,32,32,30.0,0.00142,-0.00934,0.02277,0.0223,0.05331,0.05502,0.035455,0.037866,0.506,0.489,0.064
qb,epa_per_dropback,false,1740,183,32,30.0,-0.07441,0.00915,0.07396,0.06935,0.25349,0.13303,0.587554,0.637757,0.506,0.47,0.079
qb,epa_per_dropback,true,1740,183,32,30.0,-0.0754,0.0084,0.07397,0.06015,0.25046,0.12497,0.590111,0.637757,0.57,0.391,0.075
rb,rush_epa_per_att,false,5361,537,32,30.0,-0.05511,-0.03081,0.07738,0.05614,0.51729,0.10702,0.731794,0.778693,0.679,0.321,0.06
rb,rush_epa_per_att,true,5361,537,32,30.0,-0.05713,-0.02889,0.07704,0.06355,0.50824,0.18777,0.730854,0.778693,0.606,0.368,0.061
wr,yards_per_target,false,11350,762,32,30.0,6.74987,0.17227,0.64286,0.29039,3.21338,0.60202,35.757986,38.153696,0.868,0.117,0.063
wr,yards_per_target,true,11350,762,32,30.0,6.74258,0.17967,0.64315,0.24815,3.19991,0.57258,35.782976,38.153696,0.896,0.089,0.062
pass_protection,sack_rate_allowed,false,1410,32,32,30.0,0.06594,-0.00322,0.00907,0.0046,0.02205,0.01468,0.001886,0.002134,0.769,0.197,0.117
pass_protection,sack_rate_allowed,true,1410,32,32,30.0,0.06594,-0.0032,0.00899,0.00382,0.0216,0.00799,0.001902,0.002134,0.801,0.142,0.109
