family,metric,noise_class,k,horizon,n,oos_rmse_shrunk,oos_rmse_raw,oos_rmse_league
qb,epa_per_dropback,moderately noisy,1,2,2431,0.2297,0.23869,0.23421
qb,epa_per_dropback,moderately noisy,2,2,2431,0.22538,0.23869,0.23421
qb,epa_per_dropback,moderately noisy,4,2,2431,0.22184,0.23869,0.23421
qb,epa_per_dropback,moderately noisy,8,2,2431,0.22083,0.23869,0.23421
qb,epa_per_dropback,moderately noisy,12,2,2431,0.22163,0.23869,0.23421
qb,epa_per_dropback,moderately noisy,16,2,2431,0.22268,0.23869,0.23421
qb,epa_per_dropback,moderately noisy,1,4,1890,0.17281,0.18436,0.17756
qb,epa_per_dropback,moderately noisy,2,4,1890,0.16689,0.18436,0.17756
qb,epa_per_dropback,moderately noisy,4,4,1890,0.16174,0.18436,0.17756
qb,epa_per_dropback,moderately noisy,8,4,1890,0.15999,0.18436,0.17756
qb,epa_per_dropback,moderately noisy,12,4,1890,0.16095,0.18436,0.17756
qb,epa_per_dropback,moderately noisy,16,4,1890,0.16234,0.18436,0.17756
rb,fumble_lost_rate,highly noisy,1,2,4374,0.01701,0.01769,0.01503
rb,fumble_lost_rate,highly noisy,2,2,4374,0.01656,0.01769,0.01503
rb,fumble_lost_rate,highly noisy,4,2,4374,0.01599,0.01769,0.01503
rb,fumble_lost_rate,highly noisy,8,2,4374,0.01547,0.01769,0.01503
rb,fumble_lost_rate,highly noisy,12,2,4374,0.01524,0.01769,0.01503
rb,fumble_lost_rate,highly noisy,16,2,4374,0.01513,0.01769,0.01503
rb,fumble_lost_rate,highly noisy,1,4,3095,0.01253,0.0134,0.00987
rb,fumble_lost_rate,highly noisy,2,4,3095,0.01194,0.0134,0.00987
rb,fumble_lost_rate,highly noisy,4,4,3095,0.01121,0.0134,0.00987
rb,fumble_lost_rate,highly noisy,8,4,3095,0.01053,0.0134,0.00987
rb,fumble_lost_rate,highly noisy,12,4,3095,0.01023,0.0134,0.00987
rb,fumble_lost_rate,highly noisy,16,4,3095,0.01007,0.0134,0.00987
special_teams,st_epa_per_play,highly noisy,1,2,2731,0.20046,0.20441,0.19724
special_teams,st_epa_per_play,highly noisy,2,2,2731,0.19801,0.20441,0.19724
special_teams,st_epa_per_play,highly noisy,4,2,2731,0.1953,0.20441,0.19724
special_teams,st_epa_per_play,highly noisy,8,2,2731,0.19334,0.20441,0.19724
special_teams,st_epa_per_play,highly noisy,12,2,2731,0.19288,0.20441,0.19724
special_teams,st_epa_per_play,highly noisy,16,2,2731,0.19287,0.20441,0.19724
special_teams,st_epa_per_play,highly noisy,1,4,2350,0.15426,0.15966,0.15081
special_teams,st_epa_per_play,highly noisy,2,4,2350,0.15094,0.15966,0.15081
