family,metric,horizon,n,game_n,opportunity_n,difference,qualitative_conclusion_same
pass_protection,qb_hit_rate_allowed,2,2732,0.0458,0.0457,-0.0001,true
pass_protection,qb_hit_rate_allowed,4,2350,0.0889,0.0889,0.0,true
pass_protection,rush_stuffed_rate_approx,2,2732,0.0597,0.0593,-0.0004,true
pass_protection,rush_stuffed_rate_approx,4,2350,0.1031,0.1025,-0.0006,true
pass_protection,sack_rate_allowed,2,2732,0.0526,0.0522,-0.0004,true
pass_protection,sack_rate_allowed,4,2350,0.0982,0.0977,-0.0005,true
pass_rush,qb_hit_rate_generated,2,2732,0.0639,0.0639,0.0,true
pass_rush,qb_hit_rate_generated,4,2350,0.1171,0.1169,-0.0002,true
qb,adot,2,2431,0.0722,0.0716,-0.0006,true
qb,adot,4,1890,0.1055,0.1035,-0.002,true
qb,completion_pct,2,2431,0.0814,0.0809,-0.0005,true
qb,completion_pct,4,1890,0.1438,0.145,0.0012,true
qb,cpoe,2,2431,0.0863,0.0855,-0.0008,true
qb,cpoe,4,1890,0.155,0.1556,0.0006,true
qb,cpoe_coverage_fraction,2,2431,0.0465,0.0479,0.0014,true
qb,cpoe_coverage_fraction,4,1890,0.0693,0.0699,0.0006,true
qb,dropback_success_rate,2,2431,0.0631,0.0614,-0.0017,true
qb,dropback_success_rate,4,1890,0.113,0.1127,-0.0003,true
qb,epa_per_dropback,2,2431,0.0748,0.0737,-0.0011,true
qb,epa_per_dropback,4,1890,0.1322,0.1325,0.0003,true
qb,explosive_pass_rate,2,2431,0.0822,0.0818,-0.0004,true
qb,explosive_pass_rate,4,1890,0.1319,0.131,-0.0009,true
qb,sack_rate,2,2431,0.0662,0.0654,-0.0008,true
qb,sack_rate,4,1890,0.1124,0.1104,-0.002,true
qb,yards_per_attempt,2,2431,0.0716,0.0713,-0.0003,true
qb,yards_per_attempt,4,1890,0.1285,0.1282,-0.0003,true
rb,fumble_lost_rate,2,4374,0.1449,0.1507,0.0058,true
rb,fumble_lost_rate,4,3095,0.2484,0.2573,0.0089,true
rb,rush_epa_per_att,2,4374,0.0865,0.0784,-0.0081,true
rb,rush_epa_per_att,4,3095,0.1656,0.1559,-0.0097,true
rb,rush_success_rate,2,4374,0.0675,0.0537,-0.0138,true
rb,rush_success_rate,4,3095,0.1344,0.1149,-0.0195,true
rb,yards_per_carry,2,4374,0.1206,0.1206,0.0,true
rb,yards_per_carry,4,3095,0.2114,0.2114,0.0,true
special_teams,st_epa_per_play,2,2731,0.0565,0.0563,-0.0002,true
special_teams,st_epa_per_play,4,2350,0.094,0.0935,-0.0005,true
team_defense,early_down_epa_per_play,2,2732,0.0643,0.0645,0.0002,true
team_defense,early_down_epa_per_play,4,2351,0.1231,0.1234,0.0003,true
team_defense,epa_per_play,2,2732,0.0612,0.0616,0.0004,true
team_defense,epa_per_play,4,2351,0.1251,0.1255,0.0004,true
team_defense,explosive_rush_rate,2,2732,0.0757,0.076,0.0003,true
team_defense,explosive_rush_rate,4,2351,0.1418,0.1424,0.0006,true
team_defense,pass_epa_per_dropback,2,2732,0.0709,0.071,0.0001,true
team_defense,pass_epa_per_dropback,4,2351,0.1384,0.1383,-0.0001,true
team_defense,pass_success_rate,2,2732,0.0649,0.0648,-0.0001,true
team_defense,pass_success_rate,4,2351,0.1276,0.1272,-0.0004,true
team_defense,rush_success_rate,2,2732,0.0763,0.0764,0.0001,true
team_defense,rush_success_rate,4,2351,0.1441,0.1443,0.0002,true
team_defense,success_rate,2,2732,0.0601,0.0604,0.0003,true
