family,metric,stage,horizon,n,spearman,skill_vs_reference,skill_vs_reference_ci_lo,skill_vs_reference_ci_hi,skill_vs_league,skill_vs_prior_season,reference_col
pass_protection,qb_hit_rate_allowed,shrunk,2,2732,0.40109950609590583,0.045846727541822174,0.027810007824682004,0.06588445390048171,0.08492632600066319,0.11506933764386851,raw_feature
pass_protection,qb_hit_rate_allowed,shrunk,4,2350,0.48904701665415096,0.08888421725703644,0.05699609661316349,0.12646030407906955,0.12648676348587906,0.16777635003273483,raw_feature
pass_protection,rush_stuffed_rate_approx,shrunk,2,2732,0.14807608233835148,0.05966867694413813,0.04481697428775914,0.0747012035789574,0.02447835555870348,0.041577118942675795,raw_feature
pass_protection,rush_stuffed_rate_approx,shrunk,4,2350,0.18785624884368088,0.1031315883621785,0.07424785055951252,0.13140552685221676,0.036428108014228355,0.05968986525702846,raw_feature
pass_protection,sack_rate_allowed,shrunk,2,2732,0.28355943115204646,0.05257863562824583,0.03738576670096692,0.06706342059677352,0.05122354490413672,0.09250419767385643,raw_feature
pass_protection,sack_rate_allowed,shrunk,4,2350,0.37866458721953944,0.09819162882837407,0.06702264904367941,0.1284413258779126,0.08830643741120003,0.15123195582561366,raw_feature
pass_rush,qb_hit_rate_generated,shrunk,2,2732,0.1987429540240112,0.06394616715440271,0.050738034582057376,0.07872338029138472,0.021685423939678317,0.05190613743985617,raw_feature
pass_rush,qb_hit_rate_generated,shrunk,4,2350,0.25619025364684866,0.11710618849044663,0.09263449385515149,0.14403650058081366,0.03690414387920771,0.09498794219548523,raw_feature
qb,adot,shrunk,2,2431,0.30248057982513615,0.07219354972093583,0.05453549472252343,0.09030894770932975,0.0517293868461326,0.059130525057317085,raw_feature
qb,adot,shrunk,4,1890,0.3756661795003398,0.10551009340072359,0.07373071818176104,0.13641982344050635,0.08338094790884354,0.09575792802139205,raw_feature
qb,completion_pct,shrunk,2,2431,0.21324525553756726,0.08137439336290053,0.06311569806365783,0.09831549131800642,0.02552912924448958,0.05083127218547612,raw_feature
qb,completion_pct,shrunk,4,1890,0.2675465290544548,0.1437862925479262,0.11400213823846805,0.17594449514191035,0.0433894844698548,0.09808715028458481,raw_feature
qb,cpoe,shrunk,2,2431,0.19601792948671176,0.08627010151375236,0.06556328921228699,0.10550620937538227,0.02631688397267018,0.058451152838397635,raw_feature
qb,cpoe,shrunk,4,1890,0.23656871043278868,0.15502137278251849,0.1231665249340239,0.18859609989530035,0.041430949894422975,0.10696868228041401,raw_feature
qb,cpoe_coverage_fraction,shrunk,2,2431,0.29235559415835477,0.046464032780655806,0.033445305488135325,0.05876734226707951,0.07078970117143335,0.006438192373597995,raw_feature
qb,cpoe_coverage_fraction,shrunk,4,1890,0.3705947226253355,0.06930191768514737,0.04344424244952581,0.09310345984052942,0.10139981469756287,-0.006614170792513585,raw_feature
qb,dropback_success_rate,shrunk,2,2431,0.3473391014348187,0.0630962611874123,0.0433025783772943,0.08140556075825929,0.07118771993292206,0.08972600017169996,raw_feature
qb,dropback_success_rate,shrunk,4,1890,0.4271450474428052,0.11302928165110115,0.07856281965678831,0.14680668973372504,0.11540819240409417,0.15976252040141303,raw_feature
qb,epa_per_dropback,shrunk,2,2431,0.300953822245102,0.07483342865618237,0.05453968969088557,0.09521951534368327,0.057118460029147444,0.08147196896293818,raw_feature
qb,epa_per_dropback,shrunk,4,1890,0.3763305027935712,0.1322105491816249,0.09777726294852063,0.1684851007704719,0.0989490231209651,0.14298036203619513,raw_feature
qb,explosive_pass_rate,shrunk,2,2431,0.18198420158559483,0.0822208371080384,0.061384760694619116,0.10224942114555487,0.022678482183168147,0.0823589368387071,raw_feature
qb,explosive_pass_rate,shrunk,4,1890,0.24926654901675194,0.13188680467150582,0.09466771658662008,0.16687717749116832,0.040196755906074966,0.13173880415172978,raw_feature
qb,sack_rate,shrunk,2,2431,0.3207313878979256,0.06618422268915558,0.04772035068343815,0.08692743878372619,0.061817935318707606,0.08658031305462743,raw_feature
qb,sack_rate,shrunk,4,1890,0.4222273305966116,0.11239796884866737,0.07952898679345304,0.14528733662040702,0.10869876985606208,0.151367574669665,raw_feature
qb,yards_per_attempt,shrunk,2,2431,0.25858113179772113,0.0716027260981843,0.04942120211831755,0.09216879983090474,0.04351116858600801,0.08239739889009978,raw_feature
qb,yards_per_attempt,shrunk,4,1890,0.34351658262266566,0.12853443326751302,0.08694358603500153,0.1678668381411299,0.07597527179777985,0.1417178289089569,raw_feature
rb,fumble_lost_rate,shrunk,2,4374,0.08005653468572561,0.1449325048406046,0.09967318684962727,0.1937997868132474,-0.006379682178826673,0.06486990393062364,raw_feature
rb,fumble_lost_rate,shrunk,4,3095,0.07210379193885975,0.24837769954429412,0.18975153165598146,0.30481169572207795,-0.020248227205799774,0.13784020677591002,raw_feature
rb,rush_epa_per_att,shrunk,2,4374,0.17463476646349327,0.08648507532710747,0.06080865024201045,0.10983096673102566,0.026466429649643075,0.0430583390482131,raw_feature
rb,rush_epa_per_att,shrunk,4,3095,0.193432464555409,0.1655782636926436,0.12658303014923444,0.2047528475956461,0.03611101761837654,0.10318122633006832,raw_feature
rb,rush_success_rate,shrunk,2,4374,0.22269479971673403,0.06754762450748852,0.04434942610087699,0.0882261570699658,0.045326626707692275,0.036852416465451565,raw_feature
rb,rush_success_rate,shrunk,4,3095,0.23990083275413968,0.1344476245534325,0.09759085704268025,0.1692955411991705,0.06060515900899366,0.06825087138576091,raw_feature
rb,yards_per_carry,shrunk,2,4374,0.1559723308444265,0.12057347027541077,0.09577508036091151,0.14592037935915206,0.015154075371120346,0.05525158238416861,raw_feature
rb,yards_per_carry,shrunk,4,3095,0.19542503884719936,0.2113958598784803,0.17126524423653935,0.26059416612188246,0.025159845490086097,0.09536168773339282,raw_feature
special_teams,st_epa_per_play,shrunk,2,2731,0.26282279464580394,0.05645858819193106,0.03682945777424,0.0721451887086252,0.022130580033950298,0.04438688809041458,raw_feature
special_teams,st_epa_per_play,shrunk,4,2350,0.33348874216299235,0.0940238608093451,0.05858059720665016,0.12292941086554798,0.04087061450342644,0.0742940369105316,raw_feature
team_defense,early_down_epa_per_play,shrunk,2,2732,0.1786406756432671,0.064254405758855,0.04747491535719436,0.08216008057225678,0.02604820261130336,0.06808834587192092,raw_feature
team_defense,early_down_epa_per_play,shrunk,4,2351,0.21062931711323585,0.12311948440353015,0.09145558879200895,0.15498400292451886,0.03917452396204801,0.11378090467151725,raw_feature
team_defense,epa_per_play,shrunk,2,2732,0.181684124397495,0.061240166247314876,0.04550212897683216,0.07663121430070803,0.028305480282739492,0.07014553591612294,raw_feature
team_defense,epa_per_play,shrunk,4,2351,0.2174141674914805,0.12508631506707946,0.09524225995222417,0.1534681185235115,0.041260581281588604,0.11588753310993316,raw_feature
team_defense,explosive_rush_rate,shrunk,2,2732,0.15826353174331292,0.07572231521646122,0.06048666355020667,0.09069591736819652,0.015281617845239182,0.0447070049425099,raw_feature
team_defense,explosive_rush_rate,shrunk,4,2351,0.20305384225963838,0.14184184121500498,0.11401552494860344,0.1693536903404011,0.02719356327789124,0.07656645656402805,raw_feature
team_defense,pass_epa_per_dropback,shrunk,2,2732,0.14888865486465344,0.07090510410105966,0.05717835559279881,0.08647402547108385,0.018963964581557136,0.06016277943104675,raw_feature
