family,metric,horizon,implemented_reference_col,implemented_skill_vs_reference,audit_skill_oppadj_vs_shrunk_FIXED,audit_skill_oppadj_vs_raw_FIXED,verdict_unchanged
pass_protection,qb_hit_rate_allowed,2,shrunk_feature,-0.035,-0.0342,0.0132,true
pass_protection,qb_hit_rate_allowed,4,shrunk_feature,-0.0513,-0.0512,0.0422,true
pass_protection,rush_stuffed_rate_approx,2,shrunk_feature,-0.0085,-0.0075,0.0526,true
pass_protection,rush_stuffed_rate_approx,4,shrunk_feature,-0.0086,-0.0073,0.0966,true
pass_protection,sack_rate_allowed,2,shrunk_feature,-0.0208,-0.0206,0.033,true
pass_protection,sack_rate_allowed,4,shrunk_feature,-0.0378,-0.0379,0.064,true
pass_rush,qb_hit_rate_generated,2,shrunk_feature,-0.0093,-0.0099,0.0547,true
pass_rush,qb_hit_rate_generated,4,shrunk_feature,-0.0162,-0.0172,0.1019,true
qb,adot,2,shrunk_feature,-0.0064,-0.0066,0.066,true
qb,adot,4,shrunk_feature,0.0062,0.0061,0.1109,true
qb,completion_pct,2,shrunk_feature,-0.0026,-0.0033,0.0784,true
qb,completion_pct,4,shrunk_feature,-0.0008,-0.0027,0.1415,true
qb,cpoe,2,shrunk_feature,-0.0051,-0.0056,0.0812,true
qb,cpoe,4,shrunk_feature,-0.0033,-0.0041,0.1515,true
qb,cpoe_coverage_fraction,2,shrunk_feature,-0.0352,-0.0314,0.0165,true
qb,cpoe_coverage_fraction,4,shrunk_feature,-0.0504,-0.0446,0.0278,true
qb,dropback_success_rate,2,shrunk_feature,-0.0356,-0.0369,0.0285,true
qb,dropback_success_rate,4,shrunk_feature,-0.0584,-0.0597,0.0601,true
qb,epa_per_dropback,2,shrunk_feature,-0.0199,-0.0191,0.0572,true
qb,epa_per_dropback,4,shrunk_feature,-0.0295,-0.0279,0.108,true
qb,explosive_pass_rate,2,shrunk_feature,-0.0351,-0.0339,0.0511,true
qb,explosive_pass_rate,4,shrunk_feature,-0.0562,-0.0537,0.0853,true
qb,sack_rate,2,shrunk_feature,-0.0265,-0.0264,0.0415,true
qb,sack_rate,4,shrunk_feature,-0.0411,-0.0409,0.0761,true
qb,yards_per_attempt,2,shrunk_feature,-0.0112,-0.0109,0.0615,true
qb,yards_per_attempt,4,shrunk_feature,-0.0151,-0.0141,0.1163,true
rb,fumble_lost_rate,2,shrunk_feature,-0.0491,-0.0509,0.1014,true
rb,fumble_lost_rate,4,shrunk_feature,-0.1016,-0.1032,0.1708,true
rb,rush_epa_per_att,2,shrunk_feature,0.0048,0.003,0.0892,true
rb,rush_epa_per_att,4,shrunk_feature,0.0018,-0.0002,0.1654,false
rb,rush_success_rate,2,shrunk_feature,-0.0399,-0.0408,0.0295,true
rb,rush_success_rate,4,shrunk_feature,-0.0936,-0.0951,0.0522,true
rb,yards_per_carry,2,shrunk_feature,-0.0094,-0.0115,0.1104,true
rb,yards_per_carry,4,shrunk_feature,-0.0166,-0.0187,0.1967,true
team_defense,early_down_epa_per_play,2,shrunk_feature,-0.0182,-0.0176,0.0478,true
team_defense,early_down_epa_per_play,4,shrunk_feature,-0.0275,-0.0268,0.0996,true
team_defense,epa_per_play,2,shrunk_feature,-0.0196,-0.0186,0.0438,true
team_defense,epa_per_play,4,shrunk_feature,-0.0295,-0.029,0.0997,true
team_defense,explosive_rush_rate,2,shrunk_feature,-0.0034,-0.0026,0.0733,true
team_defense,explosive_rush_rate,4,shrunk_feature,-0.004,-0.0043,0.1381,true
team_defense,pass_epa_per_dropback,2,shrunk_feature,-0.01,-0.008,0.0635,true
team_defense,pass_epa_per_dropback,4,shrunk_feature,-0.011,-0.01,0.1299,true
team_defense,pass_success_rate,2,shrunk_feature,-0.0121,-0.0113,0.0543,true
team_defense,pass_success_rate,4,shrunk_feature,-0.0147,-0.0148,0.1148,true
team_defense,rush_success_rate,2,shrunk_feature,-0.0129,-0.0124,0.0648,true
team_defense,rush_success_rate,4,shrunk_feature,-0.0168,-0.0155,0.1308,true
team_defense,success_rate,2,shrunk_feature,-0.0187,-0.0184,0.0428,true
team_defense,success_rate,4,shrunk_feature,-0.0239,-0.0232,0.0996,true
team_offense,early_down_epa_per_play,2,shrunk_feature,-0.0277,-0.0283,0.0252,true
team_offense,early_down_epa_per_play,4,shrunk_feature,-0.0468,-0.0475,0.047,true
team_offense,epa_per_play,2,shrunk_feature,-0.0485,-0.0484,-0.0109,true
team_offense,epa_per_play,4,shrunk_feature,-0.0817,-0.081,-0.0111,true
team_offense,explosive_pass_rate,2,shrunk_feature,-0.0046,-0.0029,0.0494,true
team_offense,explosive_pass_rate,4,shrunk_feature,-0.0078,-0.0053,0.088,true
team_offense,pass_epa_per_dropback,2,shrunk_feature,-0.0351,-0.0345,0.0105,true
team_offense,pass_epa_per_dropback,4,shrunk_feature,-0.0639,-0.0629,0.0287,true
team_offense,pass_success_rate,2,shrunk_feature,-0.0286,-0.0297,0.0158,true
team_offense,pass_success_rate,4,shrunk_feature,-0.0473,-0.0483,0.0444,true
team_offense,proe,2,shrunk_feature,-0.0452,-0.0462,-0.0291,true
team_offense,proe,4,shrunk_feature,-0.0525,-0.0532,-0.0214,true
team_offense,rush_epa_per_play,2,shrunk_feature,-0.0009,-0.0015,0.0572,true
team_offense,rush_epa_per_play,4,shrunk_feature,0.0027,0.0019,0.0995,true
team_offense,rush_success_rate,2,shrunk_feature,-0.0043,-0.0053,0.0493,true
team_offense,rush_success_rate,4,shrunk_feature,-0.0047,-0.0062,0.0892,true
team_offense,success_rate,2,shrunk_feature,-0.0454,-0.0467,-0.0092,true
team_offense,success_rate,4,shrunk_feature,-0.0701,-0.0717,-0.0011,true
wr,adot,2,shrunk_feature,-0.0556,-0.0565,-0.0401,true
wr,adot,4,shrunk_feature,-0.0755,-0.0763,-0.0423,true
wr,catch_rate,2,shrunk_feature,0.006,0.006,0.0681,true
wr,catch_rate,4,shrunk_feature,0.0114,0.0112,0.1278,true
wr,explosive_rec_rate,2,shrunk_feature,0.0032,0.0034,0.0813,true
wr,explosive_rec_rate,4,shrunk_feature,0.011,0.0111,0.1623,true
wr,target_success_rate,2,shrunk_feature,0.0031,0.0032,0.0883,true
wr,target_success_rate,4,shrunk_feature,0.0076,0.0076,0.1667,true
wr,yards_per_reception,2,shrunk_feature,0.0008,0.0002,0.0418,true
wr,yards_per_reception,4,shrunk_feature,0.009,0.0087,0.0926,true
wr,yards_per_target,2,shrunk_feature,0.002,0.0019,0.0796,true
wr,yards_per_target,4,shrunk_feature,0.0085,0.0085,0.162,true
