name,off_family,off_metric,def_family,def_metric,off_shrinkage_status,def_shrinkage_status,resolved,reason,interpretation
pass_game_epa,team_offense,pass_epa_per_dropback,team_defense,pass_epa_per_dropback,SHRINKAGE_ADDS_VALUE,SHRINKAGE_ADDS_VALUE,true,both units SHRINKAGE_ADDS_VALUE,value of a passing offense's per-dropback efficiency may depend on the opposing defense's ability to suppress it
pass_game_success,team_offense,pass_success_rate,team_defense,pass_success_rate,SHRINKAGE_ADDS_VALUE,SHRINKAGE_ADDS_VALUE,true,both units SHRINKAGE_ADDS_VALUE,passing success rate vs defensive passing success-rate allowed
rush_game_epa,team_offense,rush_epa_per_play,team_defense,rush_epa_per_play,SHRINKAGE_ADDS_VALUE,NOT_IN_PHASE4_UNIVERSE,false,dropped: off[team_offense.rush_epa_per_play]=SHRINKAGE_ADDS_VALUE; def[team_defense.rush_epa_per_play]=NOT_IN_PHASE4_UNIVERSE,rushing efficiency vs run-defence efficiency allowed
rush_game_success,team_offense,rush_success_rate,team_defense,rush_success_rate,SHRINKAGE_ADDS_VALUE,SHRINKAGE_ADDS_VALUE,true,both units SHRINKAGE_ADDS_VALUE,rushing success rate vs run-defence success allowed
overall_epa,team_offense,epa_per_play,team_defense,epa_per_play,SHRINKAGE_ADDS_VALUE,SHRINKAGE_ADDS_VALUE,true,both units SHRINKAGE_ADDS_VALUE,overall offensive EPA/play vs overall defensive EPA/play allowed
overall_success,team_offense,success_rate,team_defense,success_rate,SHRINKAGE_ADDS_VALUE,SHRINKAGE_ADDS_VALUE,true,both units SHRINKAGE_ADDS_VALUE,overall offensive success rate vs defensive success rate allowed
early_down_epa,team_offense,early_down_epa_per_play,team_defense,early_down_epa_per_play,SHRINKAGE_ADDS_VALUE,SHRINKAGE_ADDS_VALUE,true,both units SHRINKAGE_ADDS_VALUE,early-down offensive EPA vs early-down defensive EPA allowed
explosive_pass,team_offense,explosive_pass_rate,team_defense,explosive_pass_rate,SHRINKAGE_ADDS_VALUE,NOT_IN_PHASE4_UNIVERSE,false,dropped: off[team_offense.explosive_pass_rate]=SHRINKAGE_ADDS_VALUE; def[team_defense.explosive_pass_rate]=NOT_IN_PHASE4_UNIVERSE,explosive-pass rate vs explosive-pass rate allowed
explosive_rush,team_offense,explosive_rush_rate,team_defense,explosive_rush_rate,NOT_IN_PHASE4_UNIVERSE,SHRINKAGE_ADDS_VALUE,false,dropped: off[team_offense.explosive_rush_rate]=NOT_IN_PHASE4_UNIVERSE; def[team_defense.explosive_rush_rate]=SHRINKAGE_ADDS_VALUE,explosive-rush rate vs explosive-rush rate allowed (off is SHRINKAGE_ADDS_VALUE; def is a Phase-3 NOT_RANK_PERSISTENT metric -- flagged)
protection_vs_rush_sack,pass_protection,sack_rate_allowed,pass_rush,sack_rate_generated,SHRINKAGE_ADDS_VALUE,NOT_IN_PHASE4_UNIVERSE,false,dropped: off[pass_protection.sack_rate_allowed]=SHRINKAGE_ADDS_VALUE; def[pass_rush.sack_rate_generated]=NOT_IN_PHASE4_UNIVERSE,sack rate allowed by the protection unit vs sack rate generated by the pass rush
protection_vs_rush_hit,pass_protection,qb_hit_rate_allowed,pass_rush,qb_hit_rate_generated,SHRINKAGE_ADDS_VALUE,SHRINKAGE_ADDS_VALUE,true,both units SHRINKAGE_ADDS_VALUE,QB-hit rate allowed vs QB-hit rate generated
qb_vs_pass_defense_epa,qb,epa_per_dropback,team_defense,pass_epa_per_dropback,SHRINKAGE_ADDS_VALUE,SHRINKAGE_ADDS_VALUE,true,both units SHRINKAGE_ADDS_VALUE,a QB's per-dropback EPA vs the opposing pass defence's EPA/dropback allowed
qb_vs_pass_defense_success,qb,dropback_success_rate,team_defense,pass_success_rate,SHRINKAGE_ADDS_VALUE,SHRINKAGE_ADDS_VALUE,true,both units SHRINKAGE_ADDS_VALUE,a QB's dropback success rate vs pass-defence success-rate allowed
