matchup,horizon,n,n_entities,n_seasons,rmse_M0,rmse_M1,rmse_M2,rmse_M3,skill_M1_vs_league,skill_M2_vs_league,skill_M3_vs_league,skill_M3_vs_M1,skill_M1_vs_league_ci_lo,skill_M1_vs_league_ci_hi,skill_M3_vs_M1_ci_lo,skill_M3_vs_M1_ci_hi
pass_game_epa,2,2634,32,7,0.22748922376259365,0.2138511480686059,0.22605089021985114,0.21339695021874705,0.05995042520440608,0.006322644734343741,0.061946993843335685,0.0021238971778310134,0.04084075108632714,0.07948053578214695,-0.0010149441195294539,0.005092892202488966
pass_game_epa,4,2210,32,7,0.17581807624861934,0.15951246431348226,0.17454521053469635,0.15968092886157992,0.09274138520364528,0.007239674901931337,0.09178320984595656,-0.0010561215314597305,0.062430792260723324,0.12260034725108272,-0.0022451686346268095,0.0001263498126363254
pass_game_epa,1,2846,32,7,0.312717690997796,0.30226389186602287,0.30957242049171,0.29979905213536534,0.03342887029645791,0.010057859202177832,0.04131086674761142,0.008154595361823946,0.023287481643799783,0.04454025196057731,0.002728129374852217,0.013323602008847779
pass_game_success,2,2634,32,7,0.07420515794190083,0.06921589034164975,0.073573259001911,0.06910258577640875,0.06723612938277745,0.008515566269457597,0.06876303894517888,0.001636973311789136,0.0458760923621601,0.08796761735810864,-0.0010649510393975603,0.004236893234915417
pass_game_success,4,2210,32,7,0.05815503416939358,0.05237378634166125,0.05759139358937123,0.052447775583934035,0.09941096089622692,0.009692034199147326,0.09813868510223,-0.001412715166134948,0.06593265813710018,0.12993718984292532,-0.002800187329958642,-0.00021468330287340302
pass_game_success,1,2846,32,7,0.09973929684170163,0.09587913179422515,0.09850904153457575,0.09507094913723031,0.03870254924298322,0.012334710049925923,0.04680550046267673,0.008429182053184991,0.026823865639600944,0.05095088582435074,0.0034263320171914885,0.013144866571008933
rush_game_success,2,2634,32,7,0.08162916935129345,0.07909278135376417,0.08133845026223882,0.07924763413855729,0.031072078984582863,0.003561460827850804,0.02917505141436838,-0.001957862426161139,0.016009939698879434,0.047559923403746984,-0.005589937882041635,0.001668048653404555
rush_game_success,4,2210,32,7,0.06260982999755828,0.059445163941101595,0.06286739435810752,0.059546372594947855,0.05054583372259758,-0.004113800669308443,0.048929335900287474,-0.0017025548780811306,0.023848421046019617,0.077781552901542,-0.0033464376723548904,-0.00006175414567221044
rush_game_success,1,2846,32,7,0.11264797983109703,0.11083492301795586,0.11163633184449039,0.1107998807926195,0.01609488972513884,0.008980613661456638,0.016405966988920273,0.0003161659193887667,0.00885397267010871,0.023813497427280683,-0.00483628118943572,0.005424495525347944
overall_epa,2,2634,32,7,0.15108826515864265,0.13842427205886113,0.14966055647946608,0.13786379520699724,0.08381850891255083,0.009449500778088149,0.0875281077439054,0.004048978141821591,0.06008428831794175,0.1095534777027852,0.000310182832485384,0.007665126349102194
overall_epa,4,2210,32,7,0.12008245835292057,0.10475224876473367,0.11900674478264506,0.10487700818625356,0.12766402186014247,0.008958124150939772,0.1266250739302689,-0.0011909951623099158,0.09116113127581849,0.1637647963345087,-0.0021751844459670655,-0.0002786850189605062
overall_epa,1,2846,32,7,0.20172270714072965,0.19196690328257957,0.19872672476355796,0.18956868243576547,0.04836244762144726,0.014851983793185863,0.0602511481093948,0.012492887085248539,0.0342279038910787,0.0642791194696897,0.006215119747902537,0.018442595525668404
overall_success,2,2634,32,7,0.05632836640746049,0.051227933265714974,0.05569898910103144,0.05117705396789138,0.09054821694722504,0.011173363379231471,0.0914514793897313,0.0009931944269484516,0.06438398234675419,0.11622016464241167,-0.0024687073845668372,0.003991335847702961
overall_success,4,2210,32,7,0.04530974817269343,0.039266051427510794,0.04484129222572044,0.03935602596911622,0.13338623560977902,0.01033896602531359,0.13140046995814703,-0.002291407929608802,0.09500468773409808,0.16928671800617387,-0.0036328352822927734,-0.001082122004720787
overall_success,1,2846,32,7,0.07438112973107698,0.07045017801674304,0.0732141070520306,0.06989586282238032,0.05284877667959864,0.01568976813427969,0.060301139884713084,0.007868187277411565,0.03870495750219001,0.06831798416707227,0.0012417911253658294,0.013655279727027368
early_down_epa,2,2634,32,7,0.1388290840379307,0.1317145189809311,0.13769174509110224,0.13151269439916397,0.05124693508066214,0.008192368009269035,0.052700698052345896,0.001532288037253804,0.0340619938289648,0.06904832780039644,-0.0006391999051725272,0.0037018312014726355
early_down_epa,4,2210,32,7,0.10870861294203629,0.09998185228763343,0.10766845074389923,0.10015840122888693,0.08027662591055229,0.009568351301581512,0.07865256930201436,-0.0017658098666306632,0.053033406092895224,0.10718112007514602,-0.002924632195674265,-0.0006328065871843039
early_down_epa,1,2846,32,7,0.18657233083085398,0.18072032887884537,0.18421598554463528,0.17919875899237364,0.03136586184000678,0.012629660977730661,0.039521250582248424,0.008419472761649227,0.02136508738615212,0.0422280023664656,0.003792746228048041,0.013251942526355667
protection_vs_rush_hit,2,2634,32,7,0.05231451820781529,0.047907840963749705,0.05210196823841891,0.047657501994236316,0.08423430808557597,0.0040629251052650694,0.08901957569559071,0.005225427914875347,0.05870982423900438,0.10880355040876918,0.0024485533080608273,0.007974926459693605
protection_vs_rush_hit,4,2209,32,7,0.041685894002925765,0.03648644911928568,0.04170162938350248,0.036446162338100774,0.12472912019771376,-0.0003774749457359228,0.1256955569780328,0.0011041573558774331,0.08735621582791327,0.15940304660659285,-0.0005924684015330695,0.0027985551149377237
protection_vs_rush_hit,1,2846,32,7,0.06989814295872228,0.06646815478759469,0.06916884207200892,0.0657165349655099,0.04907123459850915,0.010433766275364964,0.05982430743091116,0.011307968823365933,0.034567623104586546,0.06395789881805233,0.007281824297688852,0.015230215950364289
qb_vs_pass_defense_epa,2,2352,100,7,0.23364947730350394,0.2212444313770996,0.23162014303905623,0.22094630684676306,0.05309254730448443,0.008685379003915639,0.05436849507794883,0.0013474894191953801,0.03567313601788209,0.07158412510174395,-0.00206043672502102,0.004616899866037373
qb_vs_pass_defense_epa,4,1782,84,7,0.17541284349209335,0.16002458177277906,0.17187390097267913,0.16033332053194177,0.08772596927891374,0.0201749338814734,0.08596589998742754,-0.0019293208314774546,0.057430625966750054,0.11792851799657858,-0.003283254753692394,-0.0004257439795088139
qb_vs_pass_defense_epa,1,2674,113,7,0.33139704209842186,0.32110182844276874,0.32853865241189545,0.31922513302224015,0.031066100018465215,0.008625272176320475,0.03672908182616419,0.005844549156353018,0.021040517770679355,0.04156030630616958,0.0007375681596734019,0.011395657460950686
qb_vs_pass_defense_success,2,2352,100,7,0.07550871562958286,0.07023758943902812,0.07473492987861535,0.070184011722842,0.06980818236152875,0.010247634918906678,0.07051773907613312,0.000762806876119182,0.047566687579482,0.0915304630897404,-0.001943959464168432,0.0032349583240804335
qb_vs_pass_defense_success,4,1782,84,7,0.05776739933398972,0.0515889376448943,0.056763886036277016,0.0516826695653995,0.1069541256890213,0.017371619793904225,0.10533155099142633,-0.0018168996064698018,0.07187450126292015,0.14216144628616204,-0.003078675048654028,-0.0006843989706494691
qb_vs_pass_defense_success,1,2674,113,7,0.10407919628126294,0.0996748715201054,0.10274748147470397,0.09899019985902434,0.042317052000049316,0.012795206478729448,0.04889542390859869,0.006869049848165165,0.02976897379692826,0.05584370277516903,0.0019575082169665664,0.011630058286746743
