matchup,horizon,p_one_sided,fdr_significant_q0.10
early_down_epa,2,0.882,false
early_down_epa,4,0.992,false
overall_epa,2,1.0,false
overall_epa,4,0.746,false
overall_success,2,0.786,false
overall_success,4,0.604,false
pass_game_epa,2,0.986,false
pass_game_epa,4,0.735,false
pass_game_success,2,0.917,false
pass_game_success,4,0.869,false
protection_vs_rush_hit,2,0.211,false
protection_vs_rush_hit,4,0.855,false
qb_vs_pass_defense_epa,2,0.449,false
qb_vs_pass_defense_epa,4,0.725,false
qb_vs_pass_defense_success,2,0.86,false
qb_vs_pass_defense_success,4,0.712,false
rush_game_success,2,0.291,false
rush_game_success,4,0.304,false
