matchup,horizon,n,interaction_skill,interaction_skill_ci_lo,interaction_skill_ci_hi,interaction_p_one_sided
pass_game_epa,2,2634,-0.0012224049158831019,-0.0031573523962244387,-0.00015578943452164207,0.986
pass_game_epa,4,2210,-0.0002649385071638033,-0.001168796637115732,0.0005803180120258349,0.735
pass_game_epa,1,2846,-0.0003809885143060132,-0.0009008232409737027,-0.000016314924823224336,0.98
pass_game_success,2,2634,-0.00044639281750291637,-0.0011581792562736447,0.00017135043464718553,0.917
pass_game_success,4,2210,-0.0007257250817747085,-0.0021701513597435886,0.0005921775299523811,0.869
pass_game_success,1,2846,5.855724114045557e-6,-0.00038660663892918224,0.0004124316734614858,0.475
rush_game_success,2,2634,0.0004451602663988474,-0.001362000276296327,0.0019758554681264914,0.291
rush_game_success,4,2210,0.000585399683540988,-0.0017783399061460814,0.0027756856218615674,0.304
rush_game_success,1,2846,-0.000026723124076921678,-0.0011824811396235202,0.0009036116172573715,0.507
overall_epa,2,2634,-0.0015985097949839933,-0.0037423545732160335,-0.0005051257807074998,1.0
overall_epa,4,2210,-0.0005708888936013512,-0.002218646869395996,0.0009232145732348233,0.746
overall_epa,1,2846,-0.0009989653192097325,-0.0020369562676534224,-0.0002733404340635515,0.996
overall_success,2,2634,-0.0004661158628149753,-0.0015581385571454443,0.0006558758120554698,0.786
overall_success,4,2210,-0.0004929188237607907,-0.0036000770934142166,0.0028160597257720905,0.604
overall_success,1,2846,-0.00026837994424488976,-0.0015866845965072762,0.001052484870142703,0.661
early_down_epa,2,2634,-0.00043534313471549346,-0.0011354519529117979,0.00031595668020471807,0.882
early_down_epa,4,2210,-0.00040200625719899463,-0.0008592331677444665,-0.00011010715182540047,0.992
early_down_epa,1,2846,-0.00038634112743451965,-0.0011750189668875588,0.0005613638370384917,0.823
protection_vs_rush_hit,2,2634,0.00038560112786600875,-0.0005237691050369253,0.001258492820444429,0.211
protection_vs_rush_hit,4,2209,-0.0005589916809072282,-0.001876402380111175,0.0007594828123200613,0.855
protection_vs_rush_hit,1,2846,0.00003419327390330462,-0.0009172980735343506,0.0010508184159376487,0.469
qb_vs_pass_defense_epa,2,2352,0.000035891299659307485,-0.0005044624748209714,0.0005530300965908258,0.449
qb_vs_pass_defense_epa,4,1782,-0.0002668815966642146,-0.0012439899773124651,0.0005809657507714197,0.725
qb_vs_pass_defense_epa,1,2674,0.00022692547585678735,-0.0001827377158999499,0.0006214711846839333,0.135
qb_vs_pass_defense_success,2,2352,-0.0005729458545395971,-0.0016173287136169111,0.00033211600720867146,0.86
qb_vs_pass_defense_success,4,1782,-0.0004271009423155725,-0.001972996081719025,0.0009005910218770225,0.712
qb_vs_pass_defense_success,1,2674,-0.0001915577545807956,-0.000510874783573384,0.00011868793056874771,0.885
