group,factor,family,outcome,orientation,association_pearson,association_spearman,association_r2,n_association,stability_mean_r,stability_sd_r,stability_frac_same_sign,n_seasons,chronological_pearson,chronological_spearman,chronological_pearson_ci_lo,chronological_pearson_ci_hi,chronological_r2,n_chronological,evidence_tier,rank_in_group,group_leader,redundancy_note
defense_efficiency,team_defense.epa_per_play,team_defense,point_differential,higher_metric_lower_outcome,-0.5876047861556305,-0.5725135623869801,0.34527938471300423,315,-0.5973007541267742,0.13510594526381153,1.0,10,-0.23863498897764907,-0.2242302390745365,-0.3220257471379803,-0.14641011649052416,0.05694665796436269,1565,moderate + temporally consistent,1,true,factors within a group are correlated; count the group as ONE line of evidence
defense_efficiency,team_defense.pass_epa_per_dropback,team_defense,point_differential,higher_metric_lower_outcome,-0.6172712475546542,-0.5927471464277075,0.38102379305767925,315,-0.6177119886810623,0.15056142065881759,1.0,10,-0.2348645826880641,-0.2201050542823558,-0.3206167266333277,-0.14027714416504114,0.0551613722012385,1565,moderate + temporally consistent,2,false,factors within a group are correlated; count the group as ONE line of evidence
defense_efficiency,team_defense.early_down_epa_per_play,team_defense,point_differential,higher_metric_lower_outcome,-0.5216838482289998,-0.515333847801799,0.27215403750301814,315,-0.5428459815234565,0.08938867769895001,1.0,10,-0.21264385988154422,-0.19716112938957447,-0.3032832227499705,-0.12009656423775791,0.04521741114532181,1565,moderate + temporally consistent,3,false,factors within a group are correlated; count the group as ONE line of evidence
defense_efficiency,team_defense.rush_epa_per_play,team_defense,point_differential,higher_metric_lower_outcome,-0.32156786116708164,-0.32902907514694985,0.10340588933557149,315,-0.3195266839405598,0.22351295426682632,0.9,10,-0.16708510577052882,-0.15171145868524108,-0.2506449825525449,-0.08207294875768956,0.027917432570348802,1565,moderate + temporally consistent,4,false,factors within a group are correlated; count the group as ONE line of evidence
defense_efficiency,team_defense.pass_success_rate,team_defense,point_differential,higher_metric_lower_outcome,-0.45057474314043083,-0.42629509757623923,0.2030175991560652,315,-0.4615660807749588,0.15444622425251905,1.0,10,-0.14372754641064237,-0.13872514034281488,-0.2422823867476969,-0.0372844352652343,0.020657607597223356,1565,weak but statistically detectable chronologically,5,false,factors within a group are correlated; count the group as ONE line of evidence
defense_efficiency,team_defense.success_rate,team_defense,point_differential,higher_metric_lower_outcome,-0.3267836147666387,-0.3087467317814815,0.10678753087995092,315,-0.34218290474680285,0.17907921242970104,0.9,10,-0.11664412801632172,-0.09887220769744176,-0.20928981611251307,-0.014388007567036764,0.01360585260068805,1565,weak but statistically detectable chronologically,6,false,factors within a group are correlated; count the group as ONE line of evidence
defense_efficiency,team_defense.rush_success_rate,team_defense,point_differential,higher_metric_lower_outcome,-0.1342168651263137,-0.15482813297858045,0.018014166884335082,315,-0.12768977465441314,0.25030642887371735,0.8,10,-0.08774010167106841,-0.07515467036261986,-0.17818258391961225,0.005093113065105273,0.007698325441249421,1565,weak / insufficient evidence,7,false,factors within a group are correlated; count the group as ONE line of evidence
defense_explosiveness,team_defense.explosive_pass_rate,team_defense,point_differential,higher_metric_lower_outcome,-0.37224468705735086,-0.3516856520887804,0.13856610704242509,315,-0.35547432607671253,0.1860308343399512,1.0,10,-0.1518266078138911,-0.13440189320862966,-0.23901953594020894,-0.06028696730645778,0.023051318840273095,1565,moderate + temporally consistent,1,true,factors within a group are correlated; count the group as ONE line of evidence
defense_explosiveness,team_defense.explosive_rush_rate,team_defense,point_differential,higher_metric_lower_outcome,-0.22112318029292055,-0.1995761394132756,0.04889546086285545,315,-0.22617691273993218,0.16317643320031935,0.9,10,-0.1352879925668673,-0.11407570661828141,-0.23048820694392771,-0.04422767490715323,0.018302840932772742,1565,weak but statistically detectable chronologically,2,false,factors within a group are correlated; count the group as ONE line of evidence
offense_efficiency,team_offense.epa_per_play,team_offense,point_differential,higher_metric_higher_outcome,0.7826546803619308,0.7838065291423352,0.612548348692436,315,0.8063383574904508,0.055223622988759935,1.0,10,0.36836123578715757,0.3836746508033962,0.2981178562003626,0.4328779451186737,0.13569000003064188,1565,strong + temporally consistent,1,true,factors within a group are correlated; count the group as ONE line of evidence
