team,domain,side,label,index_value,rank_of_league,n_metrics_used,n_metrics_defined,min_confidence,index_prev_week,rank_prev_week,index_preseason,delta_vs_prev_week,delta_vs_preseason,rank_change_vs_prev_week,season,through_week
HOU,defense_overall,defense,Defensive Strength Index,0.9308664650030541,1,3,3,prior_season_only,0.9308664650030541,1,0.9308664650030541,0.0,0.0,0,2026,0
SEA,defense_overall,defense,Defensive Strength Index,0.7381987845006522,2,3,3,prior_season_only,0.7381987845006522,2,0.7381987845006522,0.0,0.0,0,2026,0
DEN,defense_overall,defense,Defensive Strength Index,0.7159740965041097,3,3,3,prior_season_only,0.7159740965041097,3,0.7159740965041097,0.0,0.0,0,2026,0
MIN,defense_overall,defense,Defensive Strength Index,0.6214648455001576,4,3,3,prior_season_only,0.6214648455001576,4,0.6214648455001576,0.0,0.0,0,2026,0
CLE,defense_overall,defense,Defensive Strength Index,0.5941146479084374,5,3,3,prior_season_only,0.5941146479084374,5,0.5941146479084374,0.0,0.0,0,2026,0
LAC,defense_overall,defense,Defensive Strength Index,0.5709379457144682,6,3,3,prior_season_only,0.5709379457144682,6,0.5709379457144682,0.0,0.0,0,2026,0
JAX,defense_overall,defense,Defensive Strength Index,0.46639581410450703,7,3,3,prior_season_only,0.46639581410450703,7,0.46639581410450703,0.0,0.0,0,2026,0
LA,defense_overall,defense,Defensive Strength Index,0.4633209751394575,8,3,3,prior_season_only,0.4633209751394575,8,0.4633209751394575,0.0,0.0,0,2026,0
NO,defense_overall,defense,Defensive Strength Index,0.3962591458220479,9,3,3,prior_season_only,0.3962591458220479,9,0.3962591458220479,0.0,0.0,0,2026,0
PHI,defense_overall,defense,Defensive Strength Index,0.2945273060379476,10,3,3,prior_season_only,0.2945273060379476,10,0.2945273060379476,0.0,0.0,0,2026,0
BUF,defense_overall,defense,Defensive Strength Index,0.2009955779797774,11,3,3,prior_season_only,0.2009955779797774,11,0.2009955779797774,0.0,0.0,0,2026,0
DET,defense_overall,defense,Defensive Strength Index,0.15161903469677745,12,3,3,prior_season_only,0.15161903469677745,12,0.15161903469677745,0.0,0.0,0,2026,0
PIT,defense_overall,defense,Defensive Strength Index,0.07150844799619076,13,3,3,prior_season_only,0.07150844799619076,13,0.07150844799619076,0.0,0.0,0,2026,0
NE,defense_overall,defense,Defensive Strength Index,0.025374914761138966,14,3,3,prior_season_only,0.025374914761138966,14,0.025374914761138966,0.0,0.0,0,2026,0
KC,defense_overall,defense,Defensive Strength Index,0.024409794250538314,15,3,3,prior_season_only,0.024409794250538314,15,0.024409794250538314,0.0,0.0,0,2026,0
LV,defense_overall,defense,Defensive Strength Index,-0.07019048772446297,16,3,3,prior_season_only,-0.07019048772446297,16,-0.07019048772446297,0.0,0.0,0,2026,0
CAR,defense_overall,defense,Defensive Strength Index,-0.13625033482453738,17,3,3,prior_season_only,-0.13625033482453738,17,-0.13625033482453738,0.0,0.0,0,2026,0
ATL,defense_overall,defense,Defensive Strength Index,-0.15056455476589578,18,3,3,prior_season_only,-0.15056455476589578,18,-0.15056455476589578,0.0,0.0,0,2026,0
IND,defense_overall,defense,Defensive Strength Index,-0.15826073863952764,19,3,3,prior_season_only,-0.15826073863952764,19,-0.15826073863952764,0.0,0.0,0,2026,0
BAL,defense_overall,defense,Defensive Strength Index,-0.17650254872854423,20,3,3,prior_season_only,-0.17650254872854423,20,-0.17650254872854423,0.0,0.0,0,2026,0
TB,defense_overall,defense,Defensive Strength Index,-0.2436643631019572,21,3,3,prior_season_only,-0.2436643631019572,21,-0.2436643631019572,0.0,0.0,0,2026,0
GB,defense_overall,defense,Defensive Strength Index,-0.29903388488382804,22,3,3,prior_season_only,-0.29903388488382804,22,-0.29903388488382804,0.0,0.0,0,2026,0
CHI,defense_overall,defense,Defensive Strength Index,-0.4909983611830972,23,3,3,prior_season_only,-0.4909983611830972,23,-0.4909983611830972,0.0,0.0,0,2026,0
TEN,defense_overall,defense,Defensive Strength Index,-0.6075008923538523,24,3,3,prior_season_only,-0.6075008923538523,24,-0.6075008923538523,0.0,0.0,0,2026,0
NYG,defense_overall,defense,Defensive Strength Index,-0.6584375348456625,25,3,3,prior_season_only,-0.6584375348456625,25,-0.6584375348456625,0.0,0.0,0,2026,0
SF,defense_overall,defense,Defensive Strength Index,-0.6802710446591181,26,3,3,prior_season_only,-0.6802710446591181,26,-0.6802710446591181,0.0,0.0,0,2026,0
